ATT payoffs,No-Op,periodic-15,periodic-23,periodic-3,periodic-31,periodic-46,periodic-57,periodic-67,periodic-7,periodic-75,periodicRand-15,periodicRand-23,periodicRand-3,periodicRand-31,periodicRand-46,periodicRand-57,periodicRand-67,periodicRand-75,probeCountTime-1_10,probeCountTime-2_10,probeCountTime-2_100,probeCountTime-2_150,probeCountTime-2_200,probeCountTime-2_250,probeCountTime-2_300,probeCountTime-2_50,probeCountTime-3_10,probeCountTime-3_100,probeCountTime-3_150,probeCountTime-3_200,probeCountTime-3_250,probeCountTime-3_300,probeCountTime-3_50,probeCountTime-4_10,probeCountTime-4_100,probeCountTime-4_150,probeCountTime-4_200,probeCountTime-4_250,probeCountTime-4_300,probeCountTime-4_50,purePeriodic-15,purePeriodic-23,purePeriodic-3,purePeriodic-31,purePeriodic-46,purePeriodic-57,purePeriodic-67,purePeriodic-7,purePeriodic-75,purePeriodicRand-15,purePeriodicRand-23,purePeriodicRand-3,purePeriodicRand-31,purePeriodicRand-46,purePeriodicRand-57,purePeriodicRand-67,purePeriodicRand-7,purePeriodicRand-75
No-Op,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
periodic-0.1,9995.429183333334,7727.092816669619,8517.73383333395,-1226.5956166651645,8897.966516666693,9255.96193333307,9398.523233333035,9487.818766666345,5037.22221667353,9542.315899999696,7725.616733336286,8517.398683333948,-1230.7826166651676,8898.09353333336,9256.86724999974,9399.259666666365,9488.361416666346,9542.021183333027,-841.704,-938.5668333343507,3010.3406166643417,4209.1346499968995,5069.597133330382,5712.170649997771,6187.957599998613,1225.5386166656585,-435.34128333460086,5827.709399998155,6893.3877999999895,7523.769316667485,7935.503633334249,8249.540133333892,3685.769999996793,366.2047499987068,7224.557483333922,8027.352466667373,8459.026866666823,8740.8864499999,8938.203716666403,5388.84201666439,7726.294100002952,8516.656466667284,-2357.1960500022906,8898.148800000026,9255.852449999738,9399.4290999997,9487.929316666346,5036.844883340195,9542.394383333029,7726.184650002953,8516.663600000615,-2353.8750166689547,8897.90163333336,9256.17044999974,9399.263816666366,9487.57629999968,5360.301783340772,9542.072149999694
periodic-0.5,9990.169291666669,7227.807166668601,8190.21958333475,-1981.552583333372,8653.735750001098,9090.998083334101,9264.640083333967,9371.70666666721,3622.8181666667383,9438.743833333823,7225.661250001933,8190.322333334752,-1982.1252500000387,8655.29958333443,9089.125166667436,9264.2179166673,9372.370166667208,9438.487416667158,-774.293,-822.8586666666927,2731.538083333555,3884.5259166666865,4738.164666666726,5385.9589166668575,5914.630833333688,1083.454916666901,-375.3012499999738,5438.984333333594,6551.548666667264,7210.412166667427,7686.0538333341665,8001.223750000857,3314.5485000000613,292.79433333355524,6876.664500000704,7745.985500000855,8226.203583334169,8543.96366666746,8760.024666667412,4925.083916666831,7227.654416668599,8189.04583333475,-1694.91833333333,8653.563583334433,9089.25275000077,9264.281666667297,9372.270583333877,3644.507583333408,9437.98316666716,7228.408500001935,8190.008333334749,-1695.5974999999971,8654.058583334434,9089.13525000077,9263.913500000635,9372.232500000542,4167.637416666904,9439.06825000049
periodic-0.7,9987.6319,6951.956549999642,8014.626133332895,-1671.5187166667552,8522.133249999511,9001.128683332903,9191.49531666629,9309.039466666325,2817.240800000003,9381.652216666358,6945.952999999643,8011.662599999563,-1673.2367500000894,8522.930733332842,9001.61829999957,9191.913799999624,9309.460516666328,9382.03289999969,-736.8000000000004,-780.008666666692,2619.827416666675,3769.2280833333084,4614.772266666598,5252.638116666581,5751.432183333226,1026.5519666666821,-354.61213333338196,5239.186399999908,6382.612466666542,7083.680249999863,7559.171033333192,7887.150883333175,3169.050999999989,261.8701666666878,6674.007083333198,7589.573083333197,8113.571433333109,8447.356366666378,8668.792916666356,4705.580983333261,6989.027999999647,8014.270083332895,-1150.1091833334349,8521.051916666172,9000.362883332904,9190.306966666292,9308.394333332992,3103.9460833333314,9382.766266666356,6961.487449999645,8011.027116666231,-1150.515550000102,8523.716033332845,8999.479599999568,9191.452049999623,9309.29589999966,3605.6539666666413,9383.502283333024
periodic-11,9854.644666666665,64.06700000000004,339.57850000000053,-121.90766666666667,732.9648333333324,2517.723166666663,4266.713999999997,5481.031999999979,-85.32350000000007,5728.119166666652,312.04850000000033,700.0921666666663,-121.60916666666668,1209.006499999997,2559.4554999999964,3788.9788333333313,5043.870999999985,5340.029166666655,-181.7999999999999,-47.429333333333346,516.1756666666673,841.926833333334,1217.5621666666655,1531.1868333333305,1914.5964999999965,187.06916666666703,-46.79216666666669,1208.4474999999968,1864.8293333333293,2546.0134999999973,3094.7026666666648,3652.834333333332,523.9573333333333,-46.76566666666668,1864.4749999999956,2734.9664999999986,3600.3901666666666,4257.103166666666,4861.116999999999,818.3288333333318,2417.52116666666,3170.6539999999986,-66.68716666666667,6028.033833333283,6773.367166666589,7043.785999999915,7255.352166666585,-133.0695,7267.414666666598,775.4300000000003,1410.431666666661,-67.441,2269.0491666666635,3869.0446666666635,5022.1688333333195,5968.102833333296,64.6488333333333,6161.547499999971
periodic-15,9801.80116666667,36.52949999999999,156.25300000000001,-75.19183333333334,432.5563333333336,1279.2994999999987,1733.2409999999998,2938.1811666666654,-55.55816666666668,3759.309,189.14783333333335,432.1488333333337,-76.33183333333332,754.5631666666671,1528.3254999999979,2087.3874999999994,2872.456833333332,3480.9958333333334,-133.19999999999987,-34.92966666666666,383.1533333333333,629.2515,880.6360000000002,1140.899,1407.4256666666668,152.2973333333333,-34.63633333333333,872.6921666666667,1397.5159999999998,1869.2031666666662,2355.9724999999994,2815.561666666667,398.6083333333333,-34.78216666666666,1336.1465,2055.561666666667,2744.3589999999995,3327.7090000000003,3894.0685,600.421,-8.888166666666674,2398.6984999999922,-32.547000000000004,3599.7239999999956,6384.346333333312,6561.134333333325,6903.992499999983,-97.06216666666667,6923.567166666666,489.8278333333334,942.6803333333332,-32.400333333333336,1403.4551666666641,2580.206833333331,3409.4065,4163.2570000000005,29.324333333333215,4754.736333333333
periodic-17,9782.485999999999,33.5381666666667,127.17199999999998,-76.99266666666666,295.9540000000002,780.7883333333347,1433.389999999997,1766.6376666666622,-51.638,2910.635499999994,183.5378333333334,369.10950000000025,-77.20733333333334,612.6643333333336,1204.7676666666657,1769.067166666661,2218.128499999994,2841.9053333333263,-117.60000000000012,-30.237000000000005,340.83533333333384,549.1308333333344,776.0643333333342,1006.4755000000002,1188.5833333333323,145.64266666666677,-31.265666666666668,769.9470000000013,1216.2824999999991,1630.249166666663,2080.647666666661,2484.618499999994,349.20316666666736,-31.332500000000003,1153.6829999999995,1803.6441666666624,2418.91666666666,2989.1033333333276,3499.8286666666622,505.51050000000043,-48.57250000000001,2189.077166666657,-43.69033333333333,2659.7701666666608,5615.651666666641,6397.8278333332955,6484.540999999961,-86.56983333333334,6845.414166666622,403.73966666666666,771.6855000000008,-43.63283333333333,1252.925999999999,2183.9146666666607,2935.4019999999923,3450.4988333333317,17.506499999999896,4155.351833333333
periodic-20,9740.467666666667,25.02616666666666,103.62433333333331,-32.11050000000001,218.92183333333338,593.239,885.5169999999998,1484.4881666666658,-46.922,1779.956,141.10283333333334,302.26550000000026,-32.32216666666667,483.20516666666697,958.2246666666668,1343.9341666666664,1790.0094999999988,2101.268,-99.80000000000011,-25.45233333333334,304.5726666666667,482.635,670.3533333333335,850.6796666666667,1044.6353333333334,137.38133333333334,-26.16433333333334,673.8223333333334,1029.7256666666667,1407.2936666666665,1763.986,2084.4553333333333,307.26199999999994,-25.69966666666667,1001.1193333333334,1574.812,2076.521333333333,2607.792,3025.6996666666664,417.8046666666666,-43.78833333333334,1450.4604999999938,-36.75699999999999,2344.9229999999916,4148.047,5299.873833333328,6380.4154999999855,-74.53249999999998,6463.966833333332,311.9881666666667,596.7235000000005,-36.8395,971.5411666666668,1726.7226666666645,2351.600999999999,2945.5704999999984,10.354666666666592,3359.623666666667
periodic-4,9945.504333333334,897.2551666666722,3727.9209999999953,-325.4766666666667,5920.559333333424,7646.034333333496,8141.782833333468,8412.813666666765,-188.09433333333365,8575.515333333413,1572.1225000000093,3637.166999999994,-325.77799999999996,5712.949333333412,7637.426333333495,8137.881333333469,8414.465833333434,8577.809833333413,-499.8976666666664,-267.22266666666684,1363.5223333333417,2190.447000000019,2918.3970000000313,3540.955666666703,4044.571666666703,455.2859999999971,-87.00433333333301,2940.660666666679,4140.568333333352,5042.157666666695,5704.90200000004,6236.232333333383,1351.7763333333444,57.57533333333402,4121.506333333343,5399.58233333336,6285.44533333338,6851.688333333392,7318.487333333399,2144.649000000006,4225.718999999996,6833.449333333487,-191.1256666666667,7130.090500000174,7763.918666666839,8153.931166666804,8419.475833333432,148.85316666666674,8581.044666666745,2933.8933333333343,4809.76300000003,-191.25816666666665,6280.160166666779,7681.1803333335,8141.472000000136,8415.546666666765,490.2808333333364,8578.518833333412
periodic-7,9907.621333333334,170.70766666666756,895.4455,-185.851,2209.539833333321,5370.400166666659,6670.282833333252,7257.239499999905,-143.05233333333348,7615.423166666558,576.4871666666664,1451.7063333333235,-185.48783333333336,2556.2258333333184,4989.782166666665,6586.917999999922,7230.019666666574,7613.643499999891,-285.6000000000002,-140.28616666666656,803.2430000000018,1346.1916666666593,1833.0749999999875,2295.8356666666527,2764.0354999999863,267.8208333333353,-41.29099999999992,1851.00833333332,2778.535833333319,3603.5816666666574,4240.690499999997,4816.715166666667,800.1391666666683,22.173833333333018,2753.2649999999844,3908.2518333333273,4835.007666666665,5518.242499999994,6081.615166666652,1297.9686666666582,2865.560999999997,6286.915499999918,-109.42833333333334,6743.926166666559,7127.210166666551,7383.718666666517,7654.394166666545,-175.37616666666676,7845.070833333206,1461.2711666666576,2674.6523333333184,-109.489,3882.7661666666586,5875.108333333305,6893.665666666562,7397.775166666564,181.96933333333482,7702.45666666655
