ATT payoffs,No-Op,periodic-15,periodic-23,periodic-3,periodic-31,periodic-46,periodic-57,periodic-67,periodic-7,periodic-75,periodicRand-15,periodicRand-23,periodicRand-3,periodicRand-31,periodicRand-46,periodicRand-57,periodicRand-67,periodicRand-75,probeCountTime-1_10,probeCountTime-2_10,probeCountTime-2_100,probeCountTime-2_150,probeCountTime-2_200,probeCountTime-2_250,probeCountTime-2_300,probeCountTime-2_50,probeCountTime-3_10,probeCountTime-3_100,probeCountTime-3_150,probeCountTime-3_200,probeCountTime-3_250,probeCountTime-3_300,probeCountTime-3_50,probeCountTime-4_10,probeCountTime-4_100,probeCountTime-4_150,probeCountTime-4_200,probeCountTime-4_250,probeCountTime-4_300,probeCountTime-4_50,purePeriodic-15,purePeriodic-23,purePeriodic-3,purePeriodic-31,purePeriodic-46,purePeriodic-57,purePeriodic-67,purePeriodic-7,purePeriodic-75,purePeriodicRand-15,purePeriodicRand-23,purePeriodicRand-3,purePeriodicRand-31,purePeriodicRand-46,purePeriodicRand-57,purePeriodicRand-67,purePeriodicRand-7,purePeriodicRand-75
No-Op,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
periodic-0.1,9995.330549999999,7726.218365836287,8516.477775833951,-1228.6053399984983,8897.817450000028,9256.890516666408,9399.157799999699,9487.559183333015,5038.437766673533,9542.359233333029,7726.51096666962,8517.072416667284,-1228.5692616651659,8898.446633333358,9255.05404999974,9399.421383333032,9487.670133333015,9541.861949999697,-841.6995833333333,-939.0281375010817,3007.928547219907,4205.515091663458,5067.885421663731,5701.676494997784,6196.209403331851,1213.0717933322323,-429.53602916797405,5820.987427498131,6886.7045466666395,7521.087727778688,7937.357800000947,8231.174234167229,3683.4022991633856,365.9875924988319,7215.957700000559,8022.242100000632,8460.80466666686,8744.510616666623,8933.966966666474,5384.696333331018,7727.142383336284,8516.504683333951,-2351.7205500022856,8897.370350000027,9255.831816666407,9399.214666666365,9487.88099999968,5037.565200006861,9541.776466666364,7726.791366669621,8517.193150000618,-2350.5006833356183,8898.451716666692,9256.024316666406,9399.017983333035,9488.506666666344,5359.156150007437,9542.10958333303
periodic-0.5,9990.310583333334,7226.9933541686005,8189.426041668082,-1980.8811208333711,8653.292583334436,9090.047000000768,9263.613666667301,9372.130166667208,3621.1943333334034,9438.654583333826,7225.718166668601,8189.872750001414,-1980.6179708333723,8654.073916667765,9089.552083334103,9264.702750000633,9372.021166667211,9438.200333333825,-774.33105,-824.6180750000261,2742.8168958335496,3908.206008333352,4753.475616666727,5408.556700000202,5907.350050000353,1080.9377000002305,-374.77099166663976,5445.311529166933,6558.955762500601,7230.212233334103,7685.130108334178,8009.784750000853,3320.054850000059,291.6964333335546,6862.581750000712,7735.908250000839,8232.729500000854,8549.96233333414,8761.45375000075,4919.898250000161,7228.135166668601,8189.133000001418,-1695.576999999997,8653.2472500011,9090.149416667438,9263.8159166673,9371.173500000543,3644.492250000076,9437.621833333826,7227.4199166686,8188.845833334751,-1695.2115833333305,8654.050166667766,9090.197333334101,9264.702500000634,9372.019583333875,4172.578750000237,9438.544416667157
periodic-0.7,9987.637349999999,6949.735713332975,8012.638541666227,-1673.1014025000893,8522.171299999509,9001.052166666233,9190.530116666288,9310.483849999659,2818.6410166666706,9382.794349999687,6948.176533332978,8013.053649999563,-1673.2183641667566,8522.100166666178,8999.291016666235,9190.459583332957,9309.035216666325,9383.133366666358,-736.8000000000003,-780.3339266666903,2622.7041166666777,3754.141161111095,4605.590104999937,5256.875081666582,5760.310574999899,1025.3439916666837,-355.0384555556045,5259.23186666657,6386.968641666543,7079.6234916665235,7554.319772499863,7896.305998333167,3161.354117499992,261.1156650000236,6690.970783333197,7592.278949999862,8100.682916666445,8442.830616666371,8678.398049999683,4702.294349999915,6988.53413333298,8014.23951666623,-1150.3892833334348,8524.597483332842,8998.773116666232,9191.185483332958,9310.314216666326,3105.6649666666617,9382.83971666636,6964.622616666312,8014.486016666231,-1150.2351000001013,8522.614849999509,9000.139616666234,9190.95086666629,9309.588116666328,3608.1192666666393,9382.927499999689
periodic-11,9854.385333333332,62.06226666666666,341.3753750000007,-121.57858333333336,724.5886666666659,2516.802499999996,4281.753999999999,5478.132999999979,-85.28566666666673,5721.420166666652,305.93333333333374,699.2643333333328,-121.60266666666668,1208.3803333333303,2574.429166666663,3811.4761666666636,5038.798666666649,5344.374666666657,-181.79999999999993,-46.60725000000004,519.4901916666673,857.4232500000007,1211.7681749999983,1552.5972749999958,1897.0819666666632,189.47230000000042,-46.70011666666669,1210.679291666664,1864.7776999999962,2523.4232583333296,3097.972183333331,3657.3452916666656,521.5202333333333,-46.84685000000002,1847.6291666666616,2726.341666666666,3598.4618333333337,4296.053833333333,4900.778166666664,814.3691666666653,2384.138333333327,3145.567333333332,-67.01116666666667,5928.965499999951,6796.560333333253,7033.341333333248,7252.827333333252,-133.39000000000004,7266.405666666597,773.0811666666671,1419.1889999999944,-67.17666666666666,2284.2668333333304,3837.0393333333304,5040.503666666654,5970.293999999962,64.55849999999998,6168.8104999999705
periodic-15,9804.106833333333,33.68194166666668,156.92350833333342,-75.93994166666666,424.908666666667,1267.9661666666655,1732.0074999999997,2939.545166666666,-55.82166666666668,3718.5308333333332,188.68883333333332,428.6603333333336,-76.01335833333331,744.286166666667,1538.1416666666646,2107.9088333333334,2872.0876666666654,3463.7488333333326,-133.19999999999985,-34.76709999999999,384.9234916666666,634.132675,886.0355999999995,1137.2377,1387.9125499999993,156.71062499999994,-34.77092500000002,877.6487750000002,1372.0693249999988,1873.5144249999996,2337.208641666667,2789.0175833333324,400.85643333333337,-35.000775,1323.0565,2067.320166666667,2735.6866666666674,3338.758333333334,3895.932333333334,595.1346666666667,-8.79433333333334,2411.5399999999913,-32.45833333333333,3626.29283333333,6361.210999999977,6593.27149999999,6903.172499999983,-95.70366666666666,6942.167833333333,488.66333333333336,933.2674999999999,-32.470666666666666,1410.2059999999976,2591.271499999997,3381.3111666666664,4174.699666666667,27.383499999999884,4742.160333333334
periodic-17,9781.8995,36.15030000000002,126.08322222222219,-76.84059166666668,296.92566666666687,782.1521666666679,1450.5699999999972,1780.9914999999958,-51.327,2918.225499999994,184.85016666666672,367.49300000000034,-76.91564166666667,614.5611666666668,1226.7254999999986,1798.6358333333278,2193.921999999994,2842.8394999999928,-117.60000000000011,-30.882791666666662,346.6010666666669,555.5412500000012,780.112708333334,1000.8129916666671,1227.9688166666654,147.64511666666664,-30.57575,773.4002333333347,1199.9264499999986,1642.5419166666632,2068.7542249999947,2483.543183333327,348.46486666666743,-30.83930833333333,1159.328166666666,1825.6414999999954,2392.7324999999937,3019.0691666666607,3536.316499999995,509.7475000000005,-47.54883333333335,2157.2171666666563,-43.208,2640.2414999999937,5510.907166666642,6449.7693333332945,6506.982333333295,-86.4595,6844.664666666623,407.94483333333335,777.0156666666676,-43.41716666666667,1269.877833333332,2188.0094999999937,2928.7069999999926,3457.2758333333322,17.2929999999999,4134.515833333332
periodic-20,9732.955333333335,25.31290833333333,102.13691666666669,-32.16646666666665,216.70950000000002,598.1433333333335,878.1473333333333,1444.9343333333322,-47.37116666666667,1796.191,144.17083333333335,302.5220000000003,-32.097599999999986,494.3933333333336,959.7963333333331,1332.1804999999997,1792.283166666665,2097.6821666666665,-99.8000000000001,-26.125783333333327,300.06708333333324,476.00846666666655,665.0048333333337,853.8835666666669,1041.45105,136.49319999999994,-26.10441666666668,668.36505,1034.2096499999996,1402.2903666666668,1773.2573333333337,2126.923766666668,308.7600499999999,-26.085233333333345,999.4800000000001,1520.8063333333334,2085.9379999999996,2604.855333333334,3049.8763333333336,430.774,-44.52183333333334,1509.6906666666598,-37.06116666666667,2346.3424999999925,4046.3309999999988,5407.6768333333275,6365.732166666653,-74.77766666666666,6506.128333333334,311.9098333333334,601.2155000000007,-36.971666666666664,956.7881666666666,1727.6576666666645,2352.0966666666664,2929.6736666666657,10.469833333333261,3324.9660000000003
periodic-4,9945.495666666666,892.2463583333388,3723.602091666662,-325.53298333333356,5919.3770000000895,7637.663000000162,8137.214000000136,8413.512666666767,-187.51583333333366,8577.84750000008,1573.0426666666758,3632.290333333326,-325.56475000000034,5707.244000000079,7635.917000000161,8138.294333333468,8415.646500000099,8575.727500000079,-499.90053333333293,-266.751316666667,1371.443833333341,2201.8967833333513,2921.8558833333636,3535.9475500000367,4067.329800000037,454.31014999999695,-89.96055555555526,2936.3080833333474,4125.242766666689,5033.00445000003,5698.688616666708,6236.121250000049,1356.288600000012,58.205616666667375,4137.383666666677,5419.512000000027,6266.6176666667125,6866.366000000058,7333.450333333398,2151.6530000000057,4203.8399999999965,6833.626833333487,-191.1925,7127.353833333507,7764.999000000173,8155.41433333347,8419.327833333433,155.95783333333338,8581.83600000008,2923.741000000002,4816.204833333363,-191.16366666666667,6279.96166666678,7681.838333333498,8147.485000000138,8412.441500000099,493.51333333333633,8580.78133333341
periodic-7,9904.777333333335,171.29029166666749,891.6568583333332,-185.78481666666664,2252.3686666666536,5370.565166666659,6660.393833333253,7270.54416666657,-142.7948333333335,7621.036166666558,572.2849999999999,1448.1849999999904,-185.7017916666667,2535.4164999999857,5005.513333333333,6580.834999999924,7237.268499999906,7615.10016666656,-285.60000000000025,-141.3557249999998,802.4503333333348,1330.17461666666,1824.004111111099,2313.9928999999843,2751.7036499999845,262.3824083333353,-42.28860833333321,1842.7808333333203,2773.458433333319,3578.8595666666565,4260.730541666664,4825.793241666664,801.6406500000019,22.376316666666348,2722.688833333318,3909.8209999999935,4796.0525,5529.312666666659,6106.996833333317,1311.0026666666583,2871.755999999997,6324.185999999916,-109.12499999999999,6742.905333333226,7123.598166666552,7385.279833333183,7649.635833333215,-175.92666666666676,7844.972666666537,1469.6949999999908,2668.842999999985,-109.28283333333331,3902.056499999992,5877.988999999971,6891.606166666564,7391.965666666564,182.3388333333348,7707.491999999883
periodicDecept-0.1_1,4690.741533333334,3402.4895833364203,3852.8961333339576,-2231.0447833318326,4062.0010500000303,4269.358766666404,4350.428033333031,4402.48488333301,1803.7244833399152,4431.206216666358,3401.3580666697453,3851.8977166672876,-2230.505416665165,4062.130300000032,4270.767666666403,4352.291816666362,4401.524816666341,4432.300249999691,-841.7003333333331,-1579.6208166667218,-1579.7352666666459,-1579.5225500000497,-1579.4079000000263,-1579.3403499999986,-1579.9605500000093,-1579.6014166667028,-2133.2173166666694,-2133.258016666653,-2133.1221499999497,-2133.405283333221,-2133.2128166666885,-2133.493366666662,-2134.5732499999012,-2440.9300166668804,-2443.715916666797,-2441.852050000042,-2442.705216666791,-2442.1530833334846,-2439.91211666699,-2443.7101666669623,3401.0450666697557,3853.882633333957,-2896.1388500022886,4061.7667166666984,4269.937399999735,4350.474283333027,4401.6223833330105,1803.5836000065808,4431.646166666358,3401.3755333364156,3850.5456666672903,-2893.2391333356195,4063.5545166667,4270.311966666402,4351.68293333303,4401.821466666343,2081.928033340548,4431.766199999692
periodicDecept-0.1_13,9538.71705,7431.557063336284,8170.5537166672875,-1229.0217141651665,8508.47553333336,8855.303633333073,8978.433083333031,9070.139016666348,4811.594566673529,9115.815749999694,7438.953550002954,8173.219483333954,-1228.003307141356,8502.298250000029,8848.45104999974,8972.679849999698,9067.939616666346,9118.343049999694,-841.6996333333337,-937.2810633344429,-775.4471400002683,-773.8532600002329,-775.5695023811677,-774.4907841669046,-773.728715000237,-774.3889108336193,-430.06044750128274,590.5422666681828,589.0754391681081,588.1453816680981,588.9179741681612,592.905905556938,590.1164425015304,366.8586324988155,2583.984250000385,2585.755383333351,2595.1308333333013,2590.1729833331997,2596.8897000001707,2595.949050000243,7420.464983336285,8152.213733333954,-2353.393050002287,8511.193216666692,8853.980233333072,8978.001616666366,9069.909599999679,4863.234183340197,9115.055049999693,7428.056133336287,8152.4350333339535,-2350.8916500022856,8514.495316666693,8853.810483333073,8979.793033333033,9066.257966666348,5160.686033340757,9112.69931666636
periodicDecept-0.1_27,9774.51715,7640.309466669619,8356.166606667284,-1228.5616308318336,8723.988566666694,9065.053033333073,9200.082383333032,9287.329733333014,5037.733133340196,9336.427016666363,7632.141400002952,8353.681800000617,-1229.267164165166,8715.181200000025,9063.50064999974,9206.735216666366,9289.83509999968,9337.58798333303,-841.6979166666666,-938.178528334464,51.44988583385142,54.40373416719152,52.26445238164008,50.26514500058411,52.73562500057624,54.13177777834432,-430.0055150013082,2615.0977508339847,2612.1796700005975,2609.811947500694,2612.434729167346,2611.748275000694,2610.4146566673767,368.0039791654803,5038.1397166672305,5037.807350000275,5028.0998500008,5034.052716667213,5041.433366667453,5036.487616667337,7589.508683336286,8361.975166667286,-2351.6093833356194,8725.163266666692,9065.489649999741,9198.281199999701,9284.401183333011,4971.550300006863,9337.77296666636,7609.442683336287,8361.757100000617,-2356.366933335623,8729.334450000026,9065.88679999974,9207.094549999698,9286.554983333015,5311.591533340772,9340.013549999694
periodicDecept-0.1_35,9825.025833333331,7663.281245836286,8386.034296667278,-1228.9750541651656,8771.61121666669,9114.295483333073,9248.146016666366,9338.153966666347,5039.125400006866,9382.626999999695,7648.661150002952,8393.681616667283,-1229.0535166651662,8771.18636666669,9114.529916666406,9246.357116666366,9338.635283333015,9382.75278333303,-841.6998666666665,-936.7250100010974,474.6082425010986,472.4910083343757,474.95214083437486,475.9296400009461,476.5645050010346,473.9139350009926,-431.0232008346304,3432.0838491666655,3435.9241408333023,3431.5537199999862,3432.4906366667437,3433.0066458333786,3434.124863333317,366.828230832132,5833.048533335035,5825.691183334834,5827.169000001607,5839.202033334973,5835.542150001487,5837.481550001383,7622.42258333629,8397.647683333951,-2352.547416668953,8773.03976666669,9107.622783333072,9249.888949999697,9338.67076666635,4989.419266673472,9384.776516666361,7636.906333336285,8398.946650000618,-2351.6096833356196,8775.80981666669,9109.577149999739,9249.5559999997,9340.242866666347,5340.159933340761,9390.709116666361
periodicDecept-0.1_5,8826.661116666666,6790.113953336309,7527.049755000632,-1228.7801033318324,7858.536650000031,8166.484433333077,8298.886099999696,8382.574699999677,4466.353366673529,8430.779949999693,6796.318250002973,7519.398800000624,-1229.1271691651673,7859.7725666666975,8168.826033333075,8301.69393333303,8379.716316666347,8430.239066666361,-841.6992499999997,-1300.7230624999686,-1300.3974291666614,-1300.8019791666998,-1300.5629366666697,-1300.8756916667178,-1300.6696350000168,-1300.6546341666733,-1086.3464275001484,-1086.4269175001195,-1087.2088066667995,-1085.4822616668316,-1087.0025900001613,-1087.2123500001458,-1086.473767500213,-203.20012333194924,-197.97084999833837,-196.57208333237764,-203.1749666652024,-206.9121333320243,-200.69563333217354,-200.0569499984448,6790.755200002974,7525.792216667295,-2351.6751166689533,7858.624083333366,8166.625683333076,8298.549033333029,8382.574299999678,4396.5159833401685,8430.371599999695,6805.621500002966,7522.088700000625,-2354.761750002287,7858.61340000003,8170.791533333076,8301.59733333303,8379.583266666348,4708.384083340729,8426.855549999696
periodicDecept-11_1,9651.3795,60.19171666666668,292.40570000000093,-121.58480833333331,600.0559999999994,1312.268499999994,1950.2164999999923,2568.2260000000015,-84.36733333333339,2873.109000000004,293.32216666666704,631.8491666666664,-121.55748333333337,1066.0813333333303,1900.1354999999905,2534.5193333333314,3150.403666666673,3440.1598333333395,-181.7999999999999,-46.84274166666668,99.40345833333339,103.25221666666678,102.45001666666673,103.48022500000003,104.7743666666667,73.72305000000009,-46.38527777777778,537.8174444444445,547.2960555555557,547.3610555555555,545.3540333333332,548.3801083333336,426.0178833333336,-46.721508333333375,1072.3746666666634,1112.0574999999967,1104.7308333333299,1119.0124999999966,1115.7961666666636,844.5249999999984,17.88400000000001,255.0868333333339,-66.82866666666666,582.0376666666659,1316.6089999999938,1940.2599999999925,2602.176666666668,-132.62950000000004,2913.6890000000035,686.8798333333333,1218.161666666662,-67.14966666666668,1863.9503333333287,2820.2709999999975,3483.4876666666673,4086.117833333334,64.97433333333328,4365.508499999997
periodicDecept-11_13,9662.146666666667,62.088141666666644,309.21105555555613,-121.53187499999999,643.6134999999991,1459.5313333333265,2174.4364999999952,2993.0226666666704,-84.91450000000006,3253.0623333333365,302.30666666666696,651.3451666666664,-121.55372499999999,1096.2053333333304,2045.9029999999923,2763.930666666666,3522.6353333333373,3781.48816666667,-181.7999999999999,-46.93475,169.60276666666687,174.5386583333335,173.5511666666668,176.56456666666685,175.04016666666678,127.73475833333349,-46.46151666666668,708.0381416666659,726.2136749999995,726.8698999999998,728.136516666666,729.4800749999999,531.8203916666672,-46.555750000000025,1374.9958333333284,1419.6024999999952,1420.7166666666617,1419.410666666662,1409.235499999995,978.6531666666643,33.766166666666685,306.6070000000006,-67.00683333333332,688.1811666666658,1575.1561666666591,2326.169999999997,3159.396166666671,-134.00116666666668,3411.595500000004,709.2103333333334,1272.7441666666618,-66.80483333333333,1971.132833333329,3027.434999999999,3770.659333333333,4458.439833333327,66.86949999999996,4740.021999999993
periodicDecept-11_27,9710.593333333332,62.2220666666667,323.6571500000006,-121.51977777777778,664.5013333333326,1619.925333333326,2429.0908333333305,3334.8083333333357,-86.1253333333334,3608.2545000000023,302.0345000000003,675.129833333333,-121.58309999999999,1143.3556666666636,2164.5931666666606,2984.828166666667,3808.1761666666685,4056.5785000000024,-181.7999999999999,-46.64681666666665,238.59764166666724,248.80207500000037,247.83110833333384,249.71160833333383,248.56164166666707,169.29817500000019,-46.56084166666669,880.2006916666655,909.9515583333321,915.1957083333323,917.7063916666651,912.3939999999985,581.9708250000001,-46.835158333333304,1681.4794999999947,1729.937166666661,1734.142666666661,1750.2071666666616,1751.3246666666616,1000.3021666666643,49.777666666666704,371.4291666666672,-66.76083333333332,781.9329999999987,1859.3981666666593,2741.001,3622.9241666666685,-132.32083333333333,3883.558833333336,729.1413333333336,1300.1363333333286,-67.0235,2048.1561666666626,3207.1701666666645,4044.2178333333322,4813.774499999989,64.81883333333329,5000.583333333322
periodicDecept-11_35,9741.757499999998,61.79418333333337,327.5262000000003,-121.57474999999997,687.063166666666,1661.4261666666594,2586.3748333333324,3624.5026666666654,-84.84566666666673,3864.049666666668,306.40916666666703,680.582833333333,-121.559975,1156.7873333333303,2192.6411666666604,3096.507166666667,4013.3601666666655,4272.782500000002,-181.7999999999999,-46.513641666666665,306.2558500000005,319.9772222222228,323.33719166666714,321.5925333333336,322.2664333333338,188.37658333333366,-46.60300833333335,1041.917808333331,1094.4589333333308,1103.2899499999974,1106.0863083333309,1104.534316666664,531.3254916666664,-46.428200000000004,1972.065666666662,2039.542833333329,2084.3136666666624,2053.75983333333,2050.4863333333296,842.253166666665,64.7741666666667,415.503666666667,-66.84400000000001,869.2811666666652,1997.4378333333261,3036.2423333333336,4016.109999999999,-132.89450000000002,4254.404666666668,739.7116666666668,1322.8998333333286,-66.84683333333334,2098.5196666666634,3298.398333333331,4204.671999999998,5002.63366666665,65.06633333333329,5222.895833333319
periodicDecept-11_5,9651.8855,60.07749166666669,293.7015333333336,-121.53850833333331,598.8706666666661,1327.5966666666607,1954.6039999999928,2612.495833333335,-85.15750000000006,2870.0755000000036,295.82216666666704,629.674333333333,-121.5733166666667,1064.5289999999973,1914.0179999999912,2553.249999999999,3191.191666666672,3427.6385000000055,-181.7999999999999,-46.84043333333336,100.47123333333349,102.18011666666672,102.30499166666675,103.57370000000006,104.53503333333339,73.33220833333338,-46.52457499999999,535.7232000000004,545.4059583333332,545.5781250000003,545.0288333333335,545.3751749999998,426.50712500000026,-46.677978303747544,1086.3576666666634,1101.3221666666632,1111.2743333333299,1114.07033333333,1114.51933333333,838.1219999999983,16.648833333333343,247.6971666666672,-67.19050000000001,585.4456666666659,1329.3413333333272,1977.978333333326,2639.2816666666695,-132.7355,2901.2368333333366,692.5895000000002,1227.4138333333287,-66.81183333333333,1855.6794999999956,2828.076333333331,3519.561666666668,4112.001833333335,58.963166666666616,4364.283999999997
