ATT payoffs,No-Op,periodic-15,periodic-23,periodic-3,periodic-31,periodic-46,periodic-57,periodic-67,periodic-7,periodic-75,periodicRand-15,periodicRand-23,periodicRand-3,periodicRand-31,periodicRand-46,periodicRand-57,periodicRand-67,periodicRand-75,probeCountTime-1_10,probeCountTime-2_10,probeCountTime-2_100,probeCountTime-2_150,probeCountTime-2_200,probeCountTime-2_250,probeCountTime-2_300,probeCountTime-2_50,probeCountTime-3_10,probeCountTime-3_100,probeCountTime-3_150,probeCountTime-3_200,probeCountTime-3_250,probeCountTime-3_300,probeCountTime-3_50,probeCountTime-4_10,probeCountTime-4_100,probeCountTime-4_150,probeCountTime-4_200,probeCountTime-4_250,probeCountTime-4_300,probeCountTime-4_50,purePeriodic-15,purePeriodic-23,purePeriodic-3,purePeriodic-31,purePeriodic-46,purePeriodic-57,purePeriodic-67,purePeriodic-7,purePeriodic-75,purePeriodicRand-15,purePeriodicRand-23,purePeriodicRand-3,purePeriodicRand-31,purePeriodicRand-46,purePeriodicRand-57,purePeriodicRand-67,purePeriodicRand-7,purePeriodicRand-75
No-Op,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
periodic-0.1,9995.435866666667,7726.375633336288,8515.90225000062,-1231.4427499985009,8898.664200000023,9255.510616666406,9399.354166666364,9487.14684999968,5039.050883340199,9542.278299999698,7726.165200002953,8516.150050000617,-1227.6293999984991,8898.19268333336,9255.668466666408,9399.179233333032,9487.475166666349,9542.47013333303,-841.7059999999999,-936.2153500011416,3017.90004999752,4204.015599996757,5039.294299996827,5683.82803333094,6184.784899998427,1210.4154666654797,-433.66583333475114,5819.2589666648255,6880.762133333333,7521.905033334247,7938.902933334285,8231.57518333394,3686.4768666634236,364.91561666559835,7230.670516667219,8024.832983333969,8462.434566666876,8741.966866666553,8929.941549999776,5379.183166664374,7726.975350002952,8516.869550000618,-2353.498033335621,8897.579250000023,9255.837799999741,9399.2223499997,9488.730466666348,5038.139633340196,9542.19008333303,7726.8823000029515,8516.278966667283,-2354.8669500022897,8898.469866666692,9255.543883333074,9399.081216666365,9487.893366666345,5358.7044166741025,9542.252433333028
periodic-0.5,9990.192916666667,7225.530583335267,8188.6305833347515,-1979.4644166667056,8654.533250001099,9088.777416667435,9263.641500000635,9371.197166667209,3621.1980000000735,9438.92500000049,7228.965333335267,8190.279500001416,-1978.9666666667054,8653.122583334432,9090.540916667438,9264.201666667303,9371.564583333877,9438.151250000494,-774.3459999999998,-828.0195000000255,2739.4595000002164,3894.297166666693,4753.952166666708,5406.921666666848,5923.531500000352,1078.956750000228,-376.4556666666402,5438.4510000002665,6557.427666667263,7233.202000000783,7695.7998333341675,8012.6235833341825,3329.40300000006,286.6931666668877,6871.805750000706,7732.331083334175,8221.643833334178,8545.524166667465,8771.837083334089,4929.30625000017,7228.752500001935,8190.2797500014185,-1695.2279999999969,8654.833333334433,9090.068000000769,9264.934833333968,9371.942333333878,3644.281083333411,9438.039000000492,7227.668083335268,8189.264583334751,-1694.3552499999969,8654.628000001103,9090.055583334102,9264.241000000635,9371.546750000545,4171.362916666903,9438.006750000493
periodic-0.7,9987.671016666665,6947.967383332976,8013.096366666229,-1673.2837833334222,8522.158099999511,9000.084799999568,9191.612166666293,9309.653566666326,2819.9922666666703,9382.039383333024,6951.4662999996435,8015.400399999562,-1672.239800000089,8522.30814999951,9001.884099999566,9191.891766666291,9309.524066666327,9382.670516666354,-736.8000000000004,-779.4879000000237,2625.2101666666786,3747.2977833333084,4595.186066666603,5243.962866666579,5761.037933333232,1014.9715166666872,-358.67071666671563,5259.762716666569,6373.264483333208,7093.790633333203,7555.28474999986,7898.648499999834,3164.263899999989,258.3404333333587,6682.3383999998705,7585.951166666518,8097.087666666447,8448.033616666376,8659.319983333022,4693.651166666585,6988.51448333298,8012.78361666623,-1150.6656666667677,8521.772766666178,8999.559633332903,9190.590149999623,9310.201966666325,3104.289466666665,9381.94128333302,6963.8210999996445,8011.640266666231,-1150.1964333334342,8524.737149999508,9000.674499999568,9191.733199999624,9308.286883332994,3610.096399999973,9382.064883333025
periodic-11,9858.533666666666,64.00283333333336,335.13150000000064,-121.67183333333334,733.9366666666658,2528.04283333333,4257.379999999997,5477.8731666666445,-84.04716666666673,5715.288166666652,306.667166666667,700.4569999999998,-121.64300000000001,1213.8271666666635,2555.277666666663,3801.8843333333316,5029.569999999985,5358.252833333323,-181.7999999999999,-46.88916666666669,521.8351666666673,846.4071666666671,1208.9284999999988,1554.5654999999972,1879.191666666663,191.66016666666707,-48.02233333333334,1197.768499999997,1840.4588333333288,2511.75533333333,3132.1151666666647,3645.0078333333313,521.9920000000001,-47.182833333333335,1839.5356666666617,2722.4676666666655,3620.0505000000003,4293.608,4895.797499999998,815.630833333332,2407.976999999993,3187.6406666666653,-67.02083333333333,6055.274999999949,6796.510666666585,7041.439333333249,7254.925666666586,-132.71216666666666,7267.578166666598,769.0586666666669,1421.6943333333277,-67.20516666666666,2279.190499999997,3866.71333333333,5017.21583333332,5971.16466666663,63.809499999999964,6160.61349999997
periodic-15,9807.157333333336,35.065,159.1696666666667,-76.14966666666665,425.6861666666669,1277.8083333333323,1721.6099999999997,2916.012999999999,-56.288166666666676,3709.266833333333,186.98899999999998,432.14650000000034,-75.82866666666666,758.0648333333338,1541.2231666666642,2111.8486666666663,2849.8883333333324,3443.4571666666666,-133.19999999999987,-34.967833333333346,376.4361666666667,634.4753333333333,863.4981666666667,1124.8705,1388.3131666666666,155.608,-34.069166666666675,884.3263333333334,1371.390333333333,1870.5936666666666,2302.792,2802.8439999999996,404.248,-34.12983333333334,1327.5014999999999,2053.3144999999995,2742.2436666666667,3347.792,3925.492,601.8013333333333,-13.997666666666674,2420.071499999992,-32.507000000000005,3635.4269999999965,6387.6979999999785,6575.495833333323,6905.58416666665,-96.38850000000001,6942.645666666667,490.5183333333334,949.9911666666666,-32.53066666666666,1389.5686666666647,2563.1739999999977,3403.8450000000003,4176.467833333334,28.736833333333223,4739.944166666667
periodic-17,9785.313333333334,35.251166666666705,130.37199999999999,-77.01400000000001,301.9433333333335,779.6336666666679,1484.3989999999965,1770.6224999999956,-52.573,2907.516333333327,179.99466666666675,361.9448333333337,-76.90266666666668,617.7950000000003,1205.3363333333323,1781.426666666661,2208.306666666661,2817.3633333333264,-117.60000000000012,-31.304666666666673,341.354166666667,558.2941666666679,781.8763333333342,981.6036666666669,1242.8904999999984,145.6620000000001,-30.497000000000007,787.000166666668,1203.158166666666,1629.2134999999964,2081.6846666666615,2491.2803333333277,349.36150000000066,-30.971000000000014,1160.5794999999991,1819.3368333333287,2408.6524999999942,2968.443166666661,3521.2523333333293,502.2108333333338,-48.35833333333334,2197.467833333323,-43.440333333333335,2617.149333333327,5583.913833333309,6418.065499999961,6476.586999999961,-86.31316666666666,6835.431499999956,402.1933333333334,786.3816666666676,-43.310833333333335,1257.6908333333322,2190.8324999999936,2918.7144999999923,3457.0534999999977,19.165999999999894,4134.3345
periodic-20,9740.533666666666,24.604999999999993,103.1325,-32.27866666666666,219.86700000000002,592.9266666666668,877.7528333333333,1472.7631666666657,-47.75433333333333,1790.8066666666666,141.46516666666665,298.558666666667,-31.941166666666668,494.4893333333337,959.9726666666667,1339.5781666666662,1803.5484999999985,2130.6466666666665,-99.80000000000011,-25.791000000000004,296.82866666666666,478.7200000000001,669.358,849.0256666666666,1056.7416666666668,138.5,-25.23000000000001,668.1366666666668,1038.6896666666667,1411.8733333333334,1774.8073333333332,2114.767,306.5406666666666,-26.396333333333338,997.4876666666667,1555.0006666666666,2070.309666666666,2633.913,3054.260666666667,421.3006666666667,-43.82633333333333,1390.798999999994,-36.742333333333335,2436.552333333326,4072.3069999999993,5361.108999999994,6378.777166666652,-74.52266666666668,6481.1528333333345,314.8605,598.3626666666672,-36.84166666666667,963.3876666666666,1718.0246666666644,2357.3374999999996,2910.556666666666,11.052499999999926,3369.1014999999998
periodic-4,9946.449333333334,891.3721666666721,3747.554999999996,-325.9365,5925.105833333424,7642.7840000001615,8137.81183333347,8413.188500000098,-186.64383333333367,8580.408333333411,1566.903500000009,3656.65066666666,-326.18333333333334,5708.197666666745,7639.098333333495,8138.5321666668015,8410.212833333433,8578.314666666742,-499.90066666666644,-265.8803333333334,1363.0386666666748,2190.0773333333523,2936.865666666698,3509.672000000037,4071.268000000038,452.3126666666638,-88.51699999999968,2932.2883333333457,4111.472333333351,5049.511666666696,5716.246666666706,6239.222666666715,1361.9440000000106,56.75200000000068,4109.595333333344,5400.054000000028,6272.474666666712,6880.532000000058,7313.762000000065,2143.5653333333385,4189.728999999996,6831.907000000152,-190.8623333333333,7125.894166666841,7762.475000000174,8150.963000000136,8419.5710000001,158.25283333333348,8579.51850000008,2926.033166666668,4806.4440000000295,-190.97216666666668,6279.091166666779,7682.915666666831,8142.450666666803,8418.304666666765,493.7851666666697,8579.432333333412
periodic-7,9903.941166666667,172.17216666666755,897.2881666666666,-185.92316666666665,2238.2651666666543,5390.347999999993,6673.799999999918,7261.556666666572,-142.55683333333351,7626.945666666557,571.3331666666666,1452.0396666666568,-186.08516666666668,2543.938333333318,5024.427999999998,6588.9736666665885,7228.535166666574,7613.630333333224,-285.6000000000002,-143.39683333333323,813.1000000000018,1326.77616666666,1839.1293333333215,2305.5669999999855,2744.8638333333192,266.71550000000207,-41.13416666666656,1852.7366666666533,2765.131833333319,3577.3678333333232,4210.993333333329,4834.481499999997,802.0785000000016,23.575499999999668,2736.5151666666516,3922.9096666666596,4831.789833333334,5512.5619999999935,6078.731833333317,1299.7956666666582,2874.450166666664,6321.09533333325,-109.4805,6749.261333333225,7131.502333333218,7378.832833333184,7651.5723333332135,-175.04883333333342,7848.406833333204,1460.173499999991,2679.642833333317,-109.394,3889.871666666659,5869.839166666638,6893.588166666562,7400.612666666564,183.2625000000015,7702.1678333332175
