ATT payoffs,No-Op,periodic-15,periodic-23,periodic-3,periodic-31,periodic-46,periodic-57,periodic-67,periodic-7,periodic-75,periodicRand-15,periodicRand-23,periodicRand-3,periodicRand-31,periodicRand-46,periodicRand-57,periodicRand-67,periodicRand-75,probeCountTime-1_10,probeCountTime-2_10,probeCountTime-2_100,probeCountTime-2_150,probeCountTime-2_200,probeCountTime-2_250,probeCountTime-2_300,probeCountTime-2_50,probeCountTime-3_10,probeCountTime-3_100,probeCountTime-3_150,probeCountTime-3_200,probeCountTime-3_250,probeCountTime-3_300,probeCountTime-3_50,probeCountTime-4_10,probeCountTime-4_100,probeCountTime-4_150,probeCountTime-4_200,probeCountTime-4_250,probeCountTime-4_300,probeCountTime-4_50,purePeriodic-15,purePeriodic-23,purePeriodic-3,purePeriodic-31,purePeriodic-46,purePeriodic-57,purePeriodic-67,purePeriodic-7,purePeriodic-75,purePeriodicRand-15,purePeriodicRand-23,purePeriodicRand-3,purePeriodicRand-31,purePeriodicRand-46,purePeriodicRand-57,purePeriodicRand-67,purePeriodicRand-7,purePeriodicRand-75
No-Op,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
periodic-0.1,9995.3264,7726.165366669619,8517.116083333949,-1227.6736666651655,8897.941383333358,9255.147683333073,9399.159233333034,9488.03409999968,5038.095966673531,9542.399583333026,7726.9086500029525,8517.424833333951,-1229.9980833318334,8898.234416666692,9256.04814999974,9399.194583333032,9487.814966666345,9541.952616666364,-841.694,-935.1084666676087,2990.063283331051,4222.537833330012,5054.990033330424,5712.143033331271,6191.18851666524,1213.7294333321963,-429.4460833344822,5810.192883331466,6893.456899999965,7514.30593333425,7938.868383334314,8239.148916667164,3689.965433330028,373.8595166653087,7221.610116667194,8022.11546666735,8461.46153333348,8744.870083333226,8927.823849999817,5368.675866664226,7724.787483336288,8517.712416667284,-2354.950066668955,8898.708083333358,9255.78594999974,9399.074716666366,9488.107299999681,5038.386900006865,9541.934216666363,7726.757533336286,8517.083983333952,-2352.353866668953,8898.608916666693,9256.080466666408,9398.616366666365,9487.783283333016,5357.1181166741,9542.045166666361
periodic-0.5,9990.180499999999,7227.918458335266,8189.438666668084,-1980.8358333333717,8653.957583334432,9090.269583334106,9262.653666667302,9372.456000000542,3627.1476666667386,9438.379416667158,7227.656583335268,8190.33483333475,-1980.0716666667054,8654.0225000011,9088.633833334103,9264.9644166673,9371.581166667209,9438.364333333824,-774.3266666666665,-825.2835833333593,2745.041250000214,3898.7037500000306,4750.381000000071,5388.890916666867,5901.056000000348,1081.3870833335632,-372.13824999997195,5438.176750000253,6546.171416667276,7241.413083334095,7692.6924166675235,8027.578750000865,3325.3675833333946,286.82533333355406,6864.244750000708,7741.622416667513,8223.962750000837,8544.075333334138,8770.67725000074,4925.288833333492,7229.652750001936,8189.748416668082,-1697.0443333333305,8653.6080000011,9089.978416667436,9263.764500000632,9372.36091666721,3645.4637500000763,9437.772000000494,7227.856250001934,8189.729916668083,-1695.8506666666638,8654.439416667767,9088.69075000077,9263.353083333968,9371.641083333878,4170.192750000234,9438.755416667158
periodic-0.7,9987.425350000003,6951.186283332978,8013.000741666229,-1673.1549666667554,8523.154366666175,9000.430099999568,9191.939233332956,9310.134166666327,2816.576350000005,9382.896233333024,6948.474766666311,8011.962316666229,-1673.7223833334228,8522.252383332843,9000.414349999568,9191.62409999962,9309.519883332994,9383.478883333024,-736.8000000000004,-778.5282666666916,2637.6988666666844,3765.6893833333174,4621.008049999949,5248.525866666575,5748.298783333228,1026.463533333349,-355.05500000004236,5260.28688333323,6399.424616666548,7091.605083333189,7551.405099999856,7888.374949999838,3174.198683333325,257.8817166666863,6679.737349999864,7585.7235666665265,8100.386316666438,8437.430583333042,8671.742066666357,4708.71989999992,6990.108449999647,8015.276766666231,-1150.5382000001011,8524.446783332842,9000.007316666235,9191.949099999621,9310.411383332996,3103.3867333333305,9382.898233333024,6964.035433332978,8012.455533332897,-1150.0949500001016,8522.070566666176,9000.419216666236,9190.61231666629,9308.87529999966,3606.291183333304,9382.986249999687
periodic-11,9856.440333333332,63.685000000000024,337.5708333333339,-121.39466666666665,730.3483333333324,2562.352166666663,4242.024499999997,5455.431999999979,-84.69416666666673,5731.623499999984,306.88600000000037,706.9131666666661,-121.50166666666667,1225.3878333333303,2573.2906666666636,3818.613166666665,5008.983833333317,5353.954999999989,-181.7999999999999,-46.51866666666668,519.8525000000005,864.1006666666672,1212.8939999999984,1572.9753333333304,1901.8888333333293,189.36816666666704,-48.336166666666685,1195.3394999999969,1847.4903333333286,2527.88833333333,3116.093166666665,3653.468333333332,526.4681666666665,-47.14166666666668,1837.112166666662,2746.192833333332,3623.368166666667,4293.181500000001,4894.720833333331,812.9798333333318,2429.296833333327,3159.092999999998,-66.88383333333334,6005.22599999995,6777.910333333251,7040.201499999915,7260.380166666586,-132.80599999999998,7275.181666666597,760.1165000000002,1416.9039999999943,-67.13950000000001,2287.711499999997,3888.890999999997,5041.733499999987,5972.869666666631,64.28666666666663,6136.893666666637
periodic-15,9803.795166666669,33.663999999999994,152.89050000000003,-76.59949999999999,426.8870000000003,1299.7013333333318,1721.891833333333,2925.0598333333323,-55.92700000000001,3706.8341666666665,187.10383333333334,428.2748333333337,-75.99983333333333,758.7453333333337,1525.661499999998,2119.5003333333325,2870.987666666666,3503.3731666666667,-133.19999999999987,-36.395,393.183,641.5010000000001,890.9601666666666,1132.4123333333334,1399.8423333333333,151.78116666666668,-34.78966666666667,885.1288333333332,1374.041666666667,1888.794666666667,2340.3793333333333,2817.4535,404.8653333333333,-34.480333333333334,1318.6886666666667,2044.5361666666665,2738.9811666666665,3380.8325,3952.2439999999997,598.2841666666667,-12.174333333333339,2443.942499999992,-32.803000000000004,3637.0976666666625,6334.894833333313,6584.48949999999,6876.38966666665,-96.77766666666668,6947.3144999999995,490.81500000000005,936.5914999999999,-32.424666666666674,1388.9856666666642,2573.541666666664,3375.3070000000002,4191.205999999999,26.864333333333214,4716.375333333333
periodic-17,9775.082499999999,37.16750000000004,128.35316666666665,-76.92333333333333,297.04633333333356,796.5608333333346,1458.2818333333303,1786.516333333329,-53.06833333333334,2892.3818333333265,181.42800000000005,365.61266666666694,-76.88583333333334,612.6735000000003,1218.1726666666655,1768.1931666666615,2199.2336666666606,2843.7001666666597,-117.60000000000012,-30.99833333333334,343.7150000000005,557.6935000000011,782.6763333333342,992.0235000000001,1241.5424999999987,147.49833333333345,-31.076166666666673,772.8523333333346,1200.6833333333325,1650.5683333333295,2070.918166666661,2496.364499999994,353.2175000000007,-30.491166666666672,1164.6078333333326,1823.1919999999955,2402.3789999999944,2985.811333333327,3562.590333333329,499.64783333333384,-49.54666666666668,2196.5706666666565,-43.618166666666674,2616.833499999994,5599.438499999975,6475.853499999961,6482.983666666628,-86.89633333333333,6827.075166666624,401.1943333333334,776.886000000001,-43.29700000000001,1273.6181666666655,2191.2718333333273,2935.0361666666595,3462.4343333333313,17.695499999999896,4137.166333333333
periodic-20,9744.683666666668,25.39083333333333,102.54583333333332,-31.795166666666667,220.89983333333342,595.455666666667,893.4718333333334,1443.9319999999989,-47.26633333333333,1767.2084999999997,143.80816666666666,295.37216666666694,-31.724333333333334,491.1015000000003,975.0079999999998,1340.4633333333331,1796.8553333333316,2146.0948333333336,-99.80000000000011,-26.516333333333336,306.142,465.47600000000006,658.8223333333333,854.713,1042.1243333333332,139.18200000000004,-26.073666666666675,663.0910000000001,1033.1336666666666,1407.7393333333332,1753.2046666666668,2146.9343333333336,308.11033333333336,-26.497333333333337,978.92,1552.2056666666665,2058.7473333333332,2588.9656666666665,3047.6910000000003,430.008,-43.042500000000004,1441.4876666666603,-36.71266666666667,2318.784333333326,4092.491,5382.8964999999935,6414.350833333319,-74.6055,6424.8675,307.4173333333333,609.9583333333339,-36.79433333333333,965.0340000000001,1732.2133333333309,2376.0659999999993,2934.833166666666,11.50716666666659,3337.3685
periodic-4,9943.927333333333,894.9243333333387,3722.000833333327,-325.3035,5920.667666666757,7636.995333333495,8138.886000000137,8414.633833333432,-185.01516666666703,8581.211000000078,1571.4045000000092,3632.5676666666595,-325.9506666666667,5711.899833333413,7642.440333333496,8137.856500000136,8416.3820000001,8583.243333333412,-499.8983333333331,-266.37833333333344,1371.5606666666754,2185.7953333333526,2963.515000000031,3521.1930000000366,4072.6916666667044,455.7439999999972,-89.71333333333303,2931.863000000013,4147.313333333353,5028.531000000026,5691.955333333372,6216.597000000051,1351.173333333344,57.56233333333402,4129.74100000001,5409.175000000028,6274.576666666713,6867.567666666724,7322.829666666732,2159.4943333333385,4185.75233333333,6831.40666666682,-191.06783333333334,7127.165833333507,7762.04466666684,8156.621666666802,8416.2740000001,148.5396666666667,8577.920833333412,2938.8035000000013,4821.4705000000295,-190.7073333333333,6273.247000000111,7683.130000000166,8140.20133333347,8412.406833333433,491.0818333333365,8577.791166666744
periodic-7,9906.856166666666,172.64783333333415,889.2273333333333,-185.75166666666667,2211.3226666666537,5380.544333333325,6656.545333333253,7255.339166666572,-141.66266666666684,7622.31699999989,580.2915,1453.309166666657,-186.1008333333333,2556.150499999985,4985.601999999998,6596.022999999923,7234.729833333239,7619.381833333224,-285.6000000000002,-140.93016666666657,806.4833333333352,1334.1608333333265,1842.5579999999877,2319.3388333333196,2740.6551666666523,268.24033333333534,-41.76033333333323,1833.966499999987,2782.8593333333183,3576.4519999999907,4240.08383333333,4855.541999999999,808.7960000000012,23.283999999999686,2737.4468333333175,3916.356499999994,4849.774666666664,5518.318833333329,6100.91016666665,1315.837666666658,2871.5288333333306,6307.64533333325,-109.38400000000003,6746.0394999998925,7131.224999999885,7385.668999999851,7655.679166666548,-175.89616666666677,7843.092666666537,1467.4498333333245,2661.010166666651,-109.55699999999997,3888.685166666659,5872.772833333305,6902.02266666656,7400.064499999899,178.4131666666681,7710.914166666551
