ATT payoffs,No-Op,periodic-15,periodic-23,periodic-3,periodic-31,periodic-46,periodic-57,periodic-67,periodic-7,periodic-75,periodicRand-15,periodicRand-23,periodicRand-3,periodicRand-31,periodicRand-46,periodicRand-57,periodicRand-67,periodicRand-75,probeCountTime-1_10,probeCountTime-2_10,probeCountTime-2_100,probeCountTime-2_150,probeCountTime-2_200,probeCountTime-2_250,probeCountTime-2_300,probeCountTime-2_50,probeCountTime-3_10,probeCountTime-3_100,probeCountTime-3_150,probeCountTime-3_200,probeCountTime-3_250,probeCountTime-3_300,probeCountTime-3_50,probeCountTime-4_10,probeCountTime-4_100,probeCountTime-4_150,probeCountTime-4_200,probeCountTime-4_250,probeCountTime-4_300,probeCountTime-4_50,purePeriodic-15,purePeriodic-23,purePeriodic-3,purePeriodic-31,purePeriodic-46,purePeriodic-57,purePeriodic-67,purePeriodic-7,purePeriodic-75,purePeriodicRand-15,purePeriodicRand-23,purePeriodicRand-3,purePeriodicRand-31,purePeriodicRand-46,purePeriodicRand-57,purePeriodicRand-67,purePeriodicRand-7,purePeriodicRand-75
No-Op,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
periodic-0.1,9995.376733333333,7727.264650002952,8516.262300000617,-1230.3912666651674,8898.07636666669,9256.251383333076,9398.842816666365,9487.133866666347,5038.5226833402,9541.98521666636,7725.317233336285,8516.698416667285,-1227.417649998498,8898.89956666669,9256.36939999974,9398.654549999701,9487.005483333012,9541.867233333027,-841.7049999999999,-940.6650000010276,2990.9137166643136,4226.4603833301335,5057.322366663817,5709.767983331196,6189.540133331935,1215.308616665579,-433.21636666776527,5827.5694333315505,6885.4892166665995,7515.64240000089,7932.220916667646,8227.690400000576,3681.4609999968266,366.94963333227315,7236.926600000642,8022.156150000756,8464.103250000178,8734.590966666616,8936.60123333311,5383.114016664328,7725.338233336287,8517.014450000617,-2354.060183335621,8898.533516666692,9256.091883333072,9399.0945499997,9487.800233333011,5038.942683340198,9542.233766666362,7726.4192000029525,8517.08435000062,-2354.2422333356217,8897.694383333359,9256.286333333075,9399.303183333035,9487.252599999681,5359.693883340773,9541.97116666636
periodic-0.5,9990.165583333333,7226.796250001933,8189.468000001416,-1980.3169166667053,8654.522750001102,9090.506166667436,9263.539750000635,9372.14729166721,3624.3470833334068,9438.368583333824,7227.3519166686,8188.686333334749,-1980.699083333372,8654.9407500011,9089.219083334103,9263.812333333966,9371.361083333877,9438.504583333826,-774.3473333333334,-824.6515833333592,2760.0216666668775,3907.7165833333506,4772.7810833333915,5382.8408333335265,5953.814833333694,1087.2743333335616,-374.52266666664036,5445.758666666936,6559.838083333921,7220.601916667438,7683.380000000848,8017.355666667516,3318.6548333334003,292.9875000002212,6854.591416667381,7741.253000000843,8235.51858333418,8543.48891666748,8768.489416667413,4923.559750000153,7229.881500001934,8188.527333334751,-1695.0086666666637,8654.359500001103,9090.1780833341,9264.736083333966,9372.484083333877,3645.8807500000776,9437.869166667157,7227.584000001935,8188.815833334751,-1695.678499999997,8654.036333334432,9089.294583334104,9264.506333333968,9372.286750000543,4167.778166666901,9438.72075000049
periodic-0.7,9987.733666666667,6949.954183332977,8010.900699999563,-1673.0788166667562,8523.448933332842,8999.936166666235,9190.737933332957,9309.89414999966,2821.282200000004,9382.604616666356,6948.220499999644,8013.366299999564,-1674.2784333334225,8520.91449999951,9000.84439999957,9191.374499999623,9309.790749999656,9383.24504999969,-736.8000000000004,-779.1149833333571,2607.6194833333448,3770.2048333333155,4610.375133333269,5236.706649999911,5760.73296666657,1030.1252166666818,-351.3130500000473,5260.6452499999,6383.443049999867,7073.7917499998675,7555.829649999862,7888.180049999852,3162.030833333329,259.2759833333569,6683.058699999865,7596.326933333196,8105.74604999977,8442.06181666637,8670.809866666359,4705.78144999992,6990.40363333298,8014.115399999563,-1150.4239333334344,8522.321816666177,9000.589166666236,9191.395033332954,9309.820066666329,3107.619649999997,9382.14734999969,6961.31381666631,8012.139999999565,-1150.0931500001009,8521.734066666177,9000.349216666234,9191.398049999623,9310.506016666328,3609.0947499999725,9382.38789999969
periodic-11,9854.403499999999,62.598666666666695,341.89333333333394,-121.41450000000002,726.3863333333325,2541.4841666666634,4246.795333333332,5483.802499999979,-83.8461666666667,5727.076833333318,310.82033333333374,699.4533333333328,-121.52116666666666,1209.1331666666633,2564.5891666666635,3802.656166666665,5040.260499999984,5363.203333333322,-181.7999999999999,-47.00533333333334,524.7045000000006,850.7965000000006,1241.141833333332,1565.104999999997,1875.12883333333,189.27250000000032,-46.02483333333335,1214.4794999999967,1861.4196666666626,2549.1176666666643,3094.509666666665,3641.836333333332,517.0458333333335,-47.093666666666685,1852.4088333333286,2763.9593333333323,3616.5730000000003,4293.114499999999,4876.737166666665,812.840333333332,2409.7491666666606,3161.5868333333315,-66.951,6009.26399999995,6788.139166666586,7034.8614999999145,7253.534833333251,-132.51166666666668,7259.790166666598,768.0055000000002,1413.2328333333278,-66.98766666666667,2270.5269999999964,3879.6784999999973,5014.619166666652,5964.3193333332965,64.17849999999996,6133.86849999997
periodic-15,9805.127,33.19533333333332,159.01700000000002,-76.39316666666667,418.0570000000004,1275.9714999999987,1747.5441666666661,2937.005416666666,-56.273666666666685,3722.3033333333333,190.98233333333332,430.8365000000003,-75.98500000000001,746.2228333333338,1539.5191666666642,2095.322666666666,2866.228499999999,3452.188166666667,-133.19999999999987,-35.197,390.8045,626.7048333333332,894.3963333333332,1132.5128333333332,1414.998833333333,158.0591666666667,-36.38116666666667,882.1068333333333,1376.7445000000002,1856.8588333333337,2312.295666666667,2803.7460000000005,396.3385,-34.86516666666667,1318.3138333333332,2037.3791666666668,2734.5861666666665,3342.7760000000003,3918.4101666666666,606.6133333333333,-9.819166666666677,2437.6311666666584,-32.53366666666667,3632.3031666666634,6368.526999999979,6547.967833333322,6892.5889999999845,-96.51100000000001,6943.556333333334,482.1436666666667,953.3263333333332,-32.43599999999999,1392.0654999999979,2583.845499999997,3385.159166666667,4192.117166666668,27.810499999999887,4741.645
periodic-17,9776.006000000001,33.6171666666667,125.44549999999997,-76.83266666666668,291.2576666666668,778.9405000000015,1455.0706666666638,1808.369333333329,-52.12533333333333,2897.8318333333273,182.43750000000009,364.2693333333337,-76.69316666666668,619.2913333333336,1219.0494999999987,1793.4649999999945,2196.5081666666615,2866.434499999993,-117.60000000000012,-31.08283333333334,349.83900000000057,561.6686666666676,782.9181666666676,984.7730000000001,1240.6131666666652,145.9338333333334,-30.76850000000001,769.4730000000013,1214.4553333333324,1632.256666666663,2072.147833333328,2480.7118333333274,350.9718333333339,-29.957833333333337,1154.1826666666664,1801.1339999999957,2412.3383333333277,2965.483166666661,3530.429166666662,504.33750000000043,-49.209500000000006,2165.08349999999,-43.56549999999999,2635.4204999999934,5532.733499999976,6438.044666666628,6479.594333333294,-86.84166666666667,6852.860666666622,406.2939999999999,776.8273333333343,-43.26916666666666,1258.6854999999987,2194.2306666666605,2918.9503333333264,3456.473999999998,19.143499999999896,4138.409166666665
periodic-20,9734.121666666666,25.93249999999999,102.41599999999998,-32.474666666666664,216.17883333333342,598.2420000000003,902.137,1458.9921666666658,-46.4215,1796.2648333333332,142.32683333333335,299.228666666667,-32.10066666666667,491.233666666667,967.8729999999999,1336.046333333333,1814.585166666665,2119.0211666666664,-99.80000000000011,-26.000666666666667,301.39933333333335,482.0563333333334,666.7616666666667,859.4346666666665,1054.637666666667,136.545,-27.138333333333335,668.196,1035.0739999999998,1404.7419999999997,1768.7536666666667,2132.962333333333,310.03266666666667,-26.130000000000003,999.2446666666667,1543.9550000000002,2085.5453333333326,2585.0476666666673,3088.8080000000004,422.4203333333334,-44.308666666666674,1438.8594999999937,-36.954166666666666,2386.9543333333254,4123.906333333332,5338.677333333327,6387.557999999987,-74.71266666666668,6458.905833333334,313.32016666666664,604.2218333333338,-36.96033333333333,951.5741666666668,1734.484333333331,2367.026666666666,2936.862166666666,10.837999999999925,3380.872
periodic-4,9945.226999999999,888.0170000000054,3718.5418333333278,-325.69083333333333,5925.267833333425,7641.688000000162,8140.672000000135,8412.894333333432,-186.46700000000033,8579.24900000008,1571.941666666676,3634.31816666666,-325.2345,5707.442833333414,7635.707000000162,8139.865000000136,8419.221166666764,8575.265833333411,-499.8989999999997,-266.39466666666686,1359.9523333333414,2195.68000000002,2944.2416666666977,3524.4350000000372,4080.96633333337,462.71899999999715,-84.73066666666635,2934.425666666679,4134.408000000018,5022.579666666694,5700.202333333371,6243.29200000005,1352.323000000011,55.690000000000715,4122.875666666676,5423.933333333362,6277.501666666713,6869.388666666724,7303.643000000065,2156.4650000000056,4208.64533333333,6838.866333333486,-191.05449999999996,7126.348333333508,7762.76866666684,8154.523166666803,8416.597166666763,145.61166666666665,8576.819833333415,2930.447833333335,4813.715333333363,-190.80716666666666,6282.1973333334445,7684.469333333499,8144.726333333469,8416.3730000001,495.7966666666697,8579.038000000079
periodic-7,9908.306,171.1413333333342,887.7848333333333,-185.5995,2246.8023333333203,5369.396999999992,6660.795499999919,7263.517499999906,-144.49866666666688,7634.422333333224,572.9816666666666,1447.193166666657,-185.66883333333334,2554.2458333333184,5022.188166666666,6579.92516666659,7219.311166666575,7604.473166666559,-285.6000000000002,-141.09699999999992,798.7771666666686,1332.872499999993,1827.4889999999878,2295.9044999999865,2742.9913333333197,264.0508333333354,-43.03916666666656,1857.2859999999869,2799.7546666666517,3570.6308333333245,4256.042999999999,4823.604666666666,803.5363333333348,20.30499999999971,2742.242999999985,3905.2339999999926,4826.8060000000005,5549.64366666666,6069.8761666666505,1305.1513333333248,2867.8664999999974,6270.546333333251,-109.44383333333334,6746.54099999989,7132.851499999884,7383.82999999985,7656.4719999998815,-176.71050000000008,7843.596166666537,1458.9976666666576,2673.1114999999845,-109.19099999999999,3901.092833333325,5871.961999999974,6893.363999999896,7392.906666666566,180.99583333333482,7696.691833333217
