ATT payoffs,No-Op,periodic-15,periodic-23,periodic-3,periodic-31,periodic-46,periodic-57,periodic-67,periodic-7,periodic-75,periodicRand-15,periodicRand-23,periodicRand-3,periodicRand-31,periodicRand-46,periodicRand-57,periodicRand-67,periodicRand-75,probeCountTime-1_10,probeCountTime-2_10,probeCountTime-2_100,probeCountTime-2_150,probeCountTime-2_200,probeCountTime-2_250,probeCountTime-2_300,probeCountTime-2_50,probeCountTime-3_10,probeCountTime-3_100,probeCountTime-3_150,probeCountTime-3_200,probeCountTime-3_250,probeCountTime-3_300,probeCountTime-3_50,probeCountTime-4_10,probeCountTime-4_100,probeCountTime-4_150,probeCountTime-4_200,probeCountTime-4_250,probeCountTime-4_300,probeCountTime-4_50,purePeriodic-15,purePeriodic-23,purePeriodic-3,purePeriodic-31,purePeriodic-46,purePeriodic-57,purePeriodic-67,purePeriodic-7,purePeriodic-75,purePeriodicRand-15,purePeriodicRand-23,purePeriodicRand-3,purePeriodicRand-31,purePeriodicRand-46,purePeriodicRand-57,purePeriodicRand-67,purePeriodicRand-7,purePeriodicRand-75
No-Op,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
periodic-0.1,9995.284066666667,7726.287650002952,8516.287216667286,-1229.7955333318332,8898.303950000025,9256.09398333307,9398.530666666366,9487.821783333016,5037.036833340196,9542.403883333027,7724.937866669619,8516.779600000616,-1228.9704833318324,8898.175216666694,9255.759249999739,9399.232466666368,9488.556466666347,9542.228566666363,-841.7033333333333,-939.7251666677668,3010.6185833310174,4226.372766663378,5075.135216663649,5680.847783331083,6178.620316665044,1218.162016665482,-431.89878333477185,5826.694599998173,6895.751733333269,7508.1305500009385,7939.60071666759,8226.969183333886,3698.9933833301907,362.5046999988919,7225.28398333396,8025.236650000635,8462.657416666856,8736.658549999982,8935.459849999743,5373.38031666433,7726.799783336285,8516.945716667282,-2354.7281333356214,8898.158750000024,9255.901166666406,9399.556899999698,9488.429566666347,5037.41081667353,9542.417966666362,7726.297166669617,8515.830933333951,-2353.152400002288,8898.78226666669,9256.037633333075,9399.363949999699,9487.428533333012,5360.453050007438,9541.970149999695
periodic-0.5,9990.1025,7227.346500001934,8191.060208334749,-1981.3140000000387,8654.281833334433,9089.071833334103,9264.6314166673,9371.701250000542,3622.98316666674,9438.513333333824,7227.296416668602,8189.5879166680825,-1980.4075000000385,8654.1522500011,9090.342916667438,9263.124416667302,9372.826750000542,9438.624500000491,-774.3246666666666,-824.410250000026,2733.9350833335475,3897.719666666685,4765.208666666717,5394.812500000201,5913.36358333369,1078.4840000002291,-372.64124999997256,5448.125333333606,6566.590416667273,7232.381750000767,7697.205500000831,8010.652583334199,3316.0480000000553,292.44508333355543,6864.235083334027,7737.405750000845,8234.618583334175,8546.289166667473,8763.630750000753,4921.984666666826,7227.432500001936,8187.453250001419,-1694.5754166666636,8654.446166667767,9090.590916667437,9264.50533333397,9371.746750000544,3640.656000000076,9438.251750000489,7227.168333335268,8189.8140000014155,-1694.5579166666635,8654.0772500011,9089.536416667435,9263.8456666673,9370.894583333877,4169.51083333357,9437.535166667158
periodic-0.7,9987.45413333333,6948.618783332977,8013.5403666662305,-1673.4081833334221,8522.216949999507,9000.214699999568,9190.32471666629,9309.249783332993,2815.052983333337,9381.657266666358,6949.204666666311,8011.70951666623,-1673.278933333422,8522.803633332842,9001.391183332902,9189.851899999623,9310.942866666326,9381.172616666357,-736.8000000000004,-780.3379500000207,2623.613666666674,3766.72749999998,4604.364383333279,5254.849899999917,5778.287266666559,1013.0364666666827,-353.80438333338117,5250.288616666567,6388.43826666654,7077.963666666526,7560.876149999856,7892.755733333172,3159.0695833333266,263.53641666668915,6681.508133333205,7584.25069999986,8118.051683333105,8443.104616666375,8672.033033333022,4704.707083333256,6989.341416666313,8013.1165166662295,-1150.0675500001012,8522.616316666175,9000.749483332902,9192.875049999622,9309.865916666327,3104.4802833333306,9381.640066666358,6964.803633332978,8013.46506666623,-1149.8336166667682,8523.401216666176,9000.288099999569,9191.319533332957,9310.536849999658,3610.1778666666382,9382.613133333023
periodic-11,9859.909,60.07066666666668,340.8196666666673,-121.76033333333335,726.9391666666659,2563.7601666666633,4264.531166666664,5459.0109999999795,-84.42566666666673,5731.1514999999845,311.55616666666697,708.3838333333327,-121.54066666666667,1207.0266666666635,2577.9208333333295,3804.7501666666653,5023.81066666665,5337.777999999989,-181.7999999999999,-46.420500000000004,517.0811666666673,864.0221666666672,1218.1049999999987,1549.0473333333305,1899.7278333333295,190.99116666666703,-47.235333333333344,1209.336499999997,1841.8111666666625,2558.742999999997,3128.609999999998,3644.8324999999986,532.1845,-46.96100000000001,1826.738166666662,2747.235166666666,3588.5188333333326,4261.041,4912.586499999998,815.5784999999985,2397.4438333333273,3164.595499999998,-67.13216666666666,6007.607666666619,6772.391166666587,7044.373833333248,7251.646833333252,-132.121,7265.0739999999305,765.5603333333336,1408.194166666661,-66.793,2287.9978333333306,3863.0849999999973,5031.279999999986,5957.883999999964,63.53133333333329,6144.188166666638
periodic-15,9806.207333333332,37.5115,158.50650000000002,-75.70866666666669,421.29066666666705,1275.2963333333323,1746.131333333333,2960.2478333333333,-55.772333333333336,3694.7955,191.87483333333333,427.43916666666695,-75.32583333333335,747.8445000000004,1516.000999999998,2117.9503333333328,2863.879499999999,3470.532833333333,-133.19999999999987,-34.770833333333336,384.87649999999996,643.7835,886.6131666666665,1135.4038333333335,1435.079,153.11683333333332,-35.95333333333333,863.4889999999999,1377.909166666667,1884.7456666666665,2320.628,2807.5300000000007,399.16150000000005,-34.45616666666667,1329.366833333333,2055.053,2759.7941666666666,3344.4148333333337,3912.751666666667,597.6781666666667,-7.962333333333341,2447.9276666666588,-32.648,3672.6679999999965,6323.752499999979,6560.097833333324,6883.480166666651,-96.42533333333333,6922.098000000001,482.50849999999997,941.085,-32.62533333333334,1395.2513333333309,2576.7813333333306,3382.7433333333333,4192.4856666666665,28.079833333333216,4745.793000000001
periodic-17,9781.746500000001,32.596000000000025,127.68499999999999,-76.79283333333333,301.0456666666669,787.1053333333346,1453.2218333333303,1774.9696666666625,-52.55133333333334,2917.8584999999935,182.3425000000001,364.87316666666703,-76.94116666666666,619.3903333333336,1206.496999999999,1801.134499999994,2200.7193333333275,2845.2214999999924,-117.60000000000012,-30.209000000000007,348.0608333333339,545.4565000000011,790.8516666666677,970.2995000000002,1202.882499999999,149.4710000000001,-30.241166666666672,778.8923333333346,1207.4733333333327,1647.5986666666627,2065.0481666666615,2499.151499999994,350.4180000000007,-29.596500000000002,1142.9104999999997,1791.8659999999957,2417.8414999999945,2989.811666666661,3505.4874999999956,500.1128333333337,-49.5775,2158.7489999999907,-43.25433333333333,2632.6789999999937,5552.503833333308,6432.200166666629,6463.031333333294,-86.48966666666666,6826.482499999956,405.04566666666665,773.472500000001,-43.51783333333334,1266.7546666666656,2204.5874999999937,2905.3463333333257,3469.229166666665,20.11316666666656,4116.051333333333
periodic-20,9746.246333333334,25.562666666666665,100.66316666666664,-31.91433333333333,217.62500000000003,599.0646666666667,884.777,1477.1418333333322,-48.725833333333334,1777.4195000000004,140.094,292.15466666666697,-31.543333333333337,485.711166666667,969.3366666666667,1335.5554999999995,1796.3654999999985,2147.417,-99.80000000000011,-25.723,301.78999999999996,478.68299999999994,654.2733333333334,872.7956666666669,1028.6686666666667,134.76733333333334,-25.276333333333337,660.7983333333332,1044.7370000000003,1387.409666666667,1782.043,2135.3093333333336,309.56566666666663,-25.67866666666667,986.5813333333335,1552.8739999999998,2061.943666666667,2586.1873333333338,3040.689,435.535,-44.47933333333334,1492.9706666666598,-36.8215,2317.5774999999926,4094.702333333333,5350.641999999994,6419.87233333332,-74.475,6433.089499999999,314.05516666666665,609.0525000000006,-37.0755,967.3158333333333,1741.4206666666644,2364.709999999999,2944.2206666666657,11.777499999999923,3368.6416666666664
periodic-4,9943.118999999999,892.3196666666723,3724.9014999999945,-325.7575,5926.031666666759,7635.3476666668275,8136.357166666803,8412.246166666768,-186.54450000000034,8579.678333333413,1574.7108333333424,3639.377666666661,-325.3315,5713.902666666747,7641.036000000161,8136.533666666803,8414.5765000001,8576.484500000077,-499.9009999999997,-267.35866666666675,1378.751666666675,2200.7750000000196,2896.11900000003,3519.6693333333706,4081.6250000000377,453.8003333333304,-90.33899999999969,2927.183000000012,4134.893666666684,5033.748666666695,5719.228333333371,6219.619000000051,1362.0956666666777,55.842333333334,4120.71300000001,5429.665666666696,6270.163666666713,6877.704333333392,7302.326000000066,2153.900000000006,4177.337999999995,6839.600000000154,-191.202,7124.428833333508,7761.469000000174,8152.269833333468,8416.287500000099,152.02783333333338,8578.36600000008,2925.2028333333346,4805.713500000028,-190.65233333333333,6267.619666666779,7681.716000000167,8139.826666666802,8414.282500000098,488.77166666666966,8575.991000000078
periodic-7,9908.174666666666,172.44250000000085,891.4013333333334,-185.7551666666667,2247.227166666654,5382.536666666658,6663.309166666586,7258.733499999906,-142.97333333333353,7626.715833333222,582.2821666666666,1455.48149999999,-185.79383333333334,2575.4721666666524,5006.905499999999,6600.070333333255,7233.80983333324,7621.482499999889,-285.6000000000002,-141.3764999999999,811.0763333333351,1302.399333333327,1836.2153333333208,2288.0379999999864,2777.4919999999865,271.0353333333354,-42.73016666666657,1840.7056666666535,2786.3199999999856,3579.9761666666564,4236.788666666664,4848.343999999999,803.5115000000014,22.69583333333301,2738.0881666666514,3912.965166666659,4830.474833333332,5525.99516666666,6102.1024999999845,1299.2733333333251,2868.070416666664,6287.77783333325,-109.63766666666668,6745.813999999892,7132.018666666552,7379.959499999852,7649.725666666547,-176.2378333333334,7845.306166666536,1466.9253333333243,2667.7971666666517,-109.48533333333333,3884.456666666659,5869.625166666639,6889.367333333229,7398.263499999897,184.85533333333487,7703.1848333332155
periodicDecept-0.1_1,4690.777333333333,3402.1995166697543,3853.782316667289,-2231.957966665167,4062.0406000000316,4269.980549999735,4350.766633333028,4402.161966666342,1804.413483339915,4431.637483333026,3400.3141166697474,3852.367783333957,-2229.778433331832,4062.3319500000325,4270.47618333307,4352.3257166663625,4401.813699999677,4432.510699999693,-841.6943333333331,-1579.7434333333508,-1579.3411500000261,-1579.485316666703,-1579.861766666656,-1579.6218500000273,-1579.7140666666753,-1579.604600000009,-2132.7957999999358,-2132.312566666639,-2133.7844000000127,-2133.6998333333077,-2132.9752666665995,-2133.064199999849,-2133.1913500000474,-2440.488050000214,-2443.6586333335745,-2442.1935333338006,-2443.463950000129,-2442.659983333369,-2441.986883333529,-2441.524100000134,3402.0542166697555,3854.0733833339555,-2894.224450002289,4061.3329166666995,4269.515316666401,4349.841983333028,4402.214899999674,1800.9161000065724,4431.482166666359,3401.867916669749,3852.1871500006237,-2896.1708333356214,4063.0163666666976,4270.958316666403,4352.263716666363,4401.245749999678,2083.5357666738855,4431.671099999692
