

Printing!


Attacker Strats            No-Op                                    periodic-15                                periodic-23                                periodic-3                                  periodic-31                                periodic-46                               periodic-57                               periodic-67                               periodic-7                                 periodic-75                               periodicRand-15                            periodicRand-23                            periodicRand-3                              periodicRand-31                            periodicRand-46                           periodicRand-57                           periodicRand-67                           periodicRand-75                           probeCountTime-1_10                        probeCountTime-2_10                        probeCountTime-2_100                       probeCountTime-2_150                       probeCountTime-2_200                       probeCountTime-2_250                       probeCountTime-2_300                        probeCountTime-2_50                         probeCountTime-3_10                         probeCountTime-3_100                       probeCountTime-3_150                       probeCountTime-3_200                       probeCountTime-3_250                       probeCountTime-3_300                       probeCountTime-3_50                        probeCountTime-4_10                        probeCountTime-4_100                       probeCountTime-4_150                       probeCountTime-4_200                       probeCountTime-4_250                      probeCountTime-4_300                        probeCountTime-4_50                        purePeriodic-15                            purePeriodic-23                            purePeriodic-3                              purePeriodic-31                            purePeriodic-46                           purePeriodic-57                           purePeriodic-67                           purePeriodic-7                             purePeriodic-75                           purePeriodicRand-15                       purePeriodicRand-23                        purePeriodicRand-3                          purePeriodicRand-31                       purePeriodicRand-46                       purePeriodicRand-57                        purePeriodicRand-67                        purePeriodicRand-7                         purePeriodicRand-75
-------------------------  ---------------------------------------  -----------------------------------------  -----------------------------------------  ------------------------------------------  -----------------------------------------  ----------------------------------------  ----------------------------------------  ----------------------------------------  -----------------------------------------  ----------------------------------------  -----------------------------------------  -----------------------------------------  ------------------------------------------  -----------------------------------------  ----------------------------------------  ----------------------------------------  ----------------------------------------  ----------------------------------------  -----------------------------------------  -----------------------------------------  -----------------------------------------  -----------------------------------------  -----------------------------------------  -----------------------------------------  ------------------------------------------  ------------------------------------------  ------------------------------------------  -----------------------------------------  -----------------------------------------  -----------------------------------------  -----------------------------------------  -----------------------------------------  -----------------------------------------  -----------------------------------------  -----------------------------------------  -----------------------------------------  -----------------------------------------  ----------------------------------------  ------------------------------------------  -----------------------------------------  -----------------------------------------  -----------------------------------------  ------------------------------------------  -----------------------------------------  ----------------------------------------  ----------------------------------------  ----------------------------------------  -----------------------------------------  ----------------------------------------  ----------------------------------------  -----------------------------------------  ------------------------------------------  ----------------------------------------  ----------------------------------------  -----------------------------------------  -----------------------------------------  -----------------------------------------  ----------------------------------------
No-Op                      (0, 10000)                               (0, 7202.799999999993)                     (0, 8177.200000000008)                     (0, -2600)                                  (0, 8647.59999999999)                      (0, 9088.59999999999)                     (0, 9265)                                 (0, 9374.200000000004)                    (0, 4002.399999999996)                     (0, 9441.40000000001)                     (0, 7202.799999999993)                     (0, 8177.200000000008)                     (0, -2600)                                  (0, 8647.59999999999)                      (0, 9088.59999999999)                     (0, 9265)                                 (0, 9374.200000000004)                    (0, 9441.40000000001)                     (0, 10000)                                 (0, 10000)                                 (0, 10000)                                 (0, 10000)                                 (0, 10000)                                 (0, 10000)                                 (0, 10000)                                  (0, 10000)                                  (0, 10000)                                  (0, 10000)                                 (0, 10000)                                 (0, 10000)                                 (0, 10000)                                 (0, 10000)                                 (0, 10000)                                 (0, 10000)                                 (0, 10000)                                 (0, 10000)                                 (0, 10000)                                 (0, 10000)                                (0, 10000)                                  (0, 10000)                                 (0, 7202.799999999993)                     (0, 8177.200000000008)                     (0, -3998.600000000004)                     (0, 8647.59999999999)                      (0, 9088.59999999999)                     (0, 9265)                                 (0, 9374.200000000004)                    (0, 4002.399999999996)                     (0, 9441.40000000001)                     (0, 7202.799999999993)                    (0, 8177.200000000008)                     (0, -3998.600000000004)                     (0, 8647.59999999999)                     (0, 9088.59999999999)                     (0, 9265)                                  (0, 9374.200000000004)                     (0, 4002.399999999996)                     (0, 9441.40000000001)
periodic-0.1               (9995.429183333334, 1.1780833333333334)  (7727.092816669619, -2290.08078333204)     (8517.73383333395, -1491.9687333324944)    (-1226.5956166651645, -4756.10574998979)    (8897.966516666693, -1106.5302166660824)   (9255.96193333307, -745.33626666633)      (9398.523233333035, -600.7972666664297)   (9487.818766666345, -511.4073999998071)   (5037.22221667353, -4471.365216668298)     (9542.315899999696, -456.3527666664934)   (7725.616733336286, -2290.016299998707)    (8517.398683333948, -1491.9413833324945)   (-1230.7826166651676, -4755.53064998979)    (8898.09353333336, -1106.5817666660826)    (9256.86724999974, -745.3824499996635)    (9399.259666666365, -600.86396666643)     (9488.361416666346, -511.3972499998072)   (9542.021183333027, -456.3366499998267)   (-841.704, -7675.783999999991)             (-938.5668333343507, -6933.311599998122)   (3010.3406166643417, -4978.729549991028)   (4209.1346499968995, -4458.565683327977)   (5069.597133330382, -4051.7132333293953)   (5712.170649997771, -3705.6966833304696)   (6187.957599998613, -3437.758999998346)     (1225.5386166656585, -5745.583649990157)    (-435.34128333460086, -6097.425283325994)   (5827.709399998155, -3448.2173333313926)   (6893.3877999999895, -2818.0084999996707)  (7523.769316667485, -2374.4263833327987)   (7935.503633334249, -2060.833366665996)    (8249.540133333892, -1788.4879666659845)   (3685.769999996793, -4426.272433327313)    (366.2047499987068, -5405.772583323174)    (7224.557483333922, -2464.590483332814)    (8027.352466667373, -1883.8060333325968)   (8459.026866666823, -1522.6480666658208)   (8740.8864499999, -1260.3612499991323)    (8938.203716666403, -1077.3013166659116)    (5388.84201666439, -3502.6142166640097)    (7726.294100002952, -2290.0875666653737)   (8516.656466667284, -1491.8887666658272)   (-2357.1960500022906, -5405.281916659418)   (8898.148800000026, -1106.5359666660825)   (9255.852449999738, -745.3194499996633)   (9399.4290999997, -600.8656666664299)     (9487.929316666346, -511.4207833331404)   (5036.844883340195, -4471.350016668298)    (9542.394383333029, -456.37238333316014)  (7726.184650002953, -2290.0660166653734)  (8516.663600000615, -1491.9222333324942)   (-2353.8750166689547, -5405.712949992749)   (8897.90163333336, -1106.5678999994159)   (9256.17044999974, -745.35941666633)      (9399.263816666366, -600.8725833330966)    (9487.57629999968, -511.379899999807)      (5360.301783340772, -4552.148183335085)    (9542.072149999694, -456.34054999982675)
periodic-0.5               (9990.169291666669, 6.092291666666667)   (7227.807166668601, -2119.6185000000683)   (8190.21958333475, -1379.7724166666)       (-1981.552583333372, -3155.469083332674)    (8653.735750001098, -1021.943749999959)    (9090.998083334101, -687.0569166666498)   (9264.640083333967, -552.7202499999928)   (9371.70666666721, -469.673833333332)     (3622.8181666667383, -2355.639166666507)   (9438.743833333823, -418.7313333333358)   (7225.661250001933, -2119.441583333401)    (8190.322333334752, -1379.933333333267)    (-1982.1252500000387, -3155.292416666008)   (8655.29958333443, -1022.3964166666259)    (9089.125166667436, -686.7676666666497)   (9264.2179166673, -552.7159166666595)     (9372.370166667208, -469.78766666666536)  (9438.487416667158, -418.65058333333576)  (-774.293, -6260.005999999999)             (-822.8586666666927, -4866.856666666131)   (2731.538083333555, -3750.5292499988846)   (3884.5259166666865, -3470.8215833328277)  (4738.164666666726, -3244.116333333197)    (5385.9589166668575, -3031.457583333305)   (5914.630833333688, -2843.9933333334307)    (1083.454916666901, -4164.43774999862)      (-375.3012499999738, -3733.537249998936)    (5438.984333333594, -2628.0176666666794)   (6551.548666667264, -2271.7531666670366)   (7210.412166667427, -1979.1115000002792)   (7686.0538333341665, -1746.6301666668323)  (8001.223750000857, -1563.4139166667708)   (3314.5485000000613, -3060.0176666659745)  (292.79433333355524, -2953.501499998636)   (6876.664500000704, -1917.7498333336562)   (7745.985500000855, -1555.9773333334663)   (8226.203583334169, -1292.1539166667199)   (8543.96366666746, -1095.04483333333)     (8760.024666667412, -949.9489999999684)     (4925.083916666831, -2423.8474166666115)   (7227.654416668599, -2120.546250000067)    (8189.04583333475, -1379.5419999999333)    (-1694.91833333333, -4159.093999999804)     (8653.563583334433, -1021.8827499999591)   (9089.25275000077, -686.7160833333165)    (9264.281666667297, -552.7963333333262)   (9372.270583333877, -469.6239166666653)   (3644.507583333408, -2374.0254166665095)   (9437.98316666716, -418.6196666666691)    (7228.408500001935, -2119.962166666734)   (8190.008333334749, -1379.6264999999335)   (-1695.5974999999971, -4158.503833333136)   (8654.058583334434, -1022.0274166666256)  (9089.13525000077, -686.70591666665)      (9263.913500000635, -552.6913333333262)    (9372.232500000542, -469.7119999999987)    (4167.637416666904, -2765.304583333173)    (9439.06825000049, -418.69875000000246)
periodic-0.7               (9987.6319, 8.466033333333336)           (6951.956549999642, -2000.9989500000477)   (8014.626133332895, -1319.716933333298)    (-1671.5187166667552, -2947.256483333516)   (8522.133249999511, -976.4837833333145)    (9001.128683332903, -655.6118166666473)   (9191.49531666629, -527.0221833333215)    (9309.039466666325, -447.33199999999346)  (2817.240800000003, -1198.7793666666917)   (9381.652216666358, -398.2777166666632)   (6945.952999999643, -1999.5939333333815)   (8011.662599999563, -1319.083299999964)    (-1673.2367500000894, -2946.395550000179)   (8522.930733332842, -976.6264666666477)    (9001.61829999957, -655.7574333333139)    (9191.913799999624, -527.0680333333216)   (9309.460516666328, -447.42038333332687)  (9382.03289999969, -398.2950999999965)    (-736.8000000000004, -5472.799999999994)   (-780.008666666692, -4060.5366000002064)   (2619.827416666675, -3171.0045833335835)   (3769.2280833333084, -2995.0953166667014)  (4614.772266666598, -2830.6752999998453)   (5252.638116666581, -2687.401016666532)    (5751.432183333226, -2548.5989833332646)    (1026.5519666666821, -3487.0335666668907)   (-354.61213333338196, -2918.645766666973)   (5239.186399999908, -2234.503866666541)    (6382.612466666542, -1983.6083666667366)   (7083.680249999863, -1773.2468833333776)   (7559.171033333192, -1580.2869000000092)   (7887.150883333175, -1428.3472500000312)   (3169.050999999989, -2467.190500000108)    (261.8701666666878, -1862.6479333335476)   (6674.007083333198, -1632.9491166667424)   (7589.573083333197, -1378.7055166666755)   (8113.571433333109, -1165.354433333362)    (8447.356366666378, -998.428499999995)    (8668.792916666356, -877.0895833333178)     (4705.580983333261, -1884.9959166664996)   (6989.027999999647, -2034.1620333333676)   (8014.270083332895, -1319.4381833332977)   (-1150.1091833334349, -4067.8376833332736)  (8521.051916666172, -976.2271833333143)    (9000.362883332904, -655.3852166666472)   (9190.306966666292, -526.5474666666547)   (9308.394333332992, -447.0059666666601)   (3103.9460833333314, -1475.5285499999115)  (9382.766266666356, -398.4966999999966)   (6961.487449999645, -2011.2532833333767)  (8011.027116666231, -1318.8730499999647)   (-1150.515550000102, -4067.6583166666055)   (8523.716033332845, -977.0994999999812)   (8999.479599999568, -655.4538666666471)   (9191.452049999623, -526.6362499999882)    (9309.29589999966, -447.32569999999345)    (3605.6539666666413, -1904.8247666663883)  (9383.502283333024, -398.61861666666323)
periodic-11                (9854.644666666665, 134.20733333333328)  (64.06700000000004, 6959.780999999998)     (339.57850000000053, 7645.334499999994)    (-121.90766666666667, -2613.1100000000006)  (732.9648333333324, 7692.789833333329)     (2517.723166666663, 6063.360166666626)    (4266.713999999997, 4108.2526666666345)   (5481.031999999979, 2711.418333333299)    (-85.32350000000007, 3909.3214999999973)   (5728.119166666652, 2518.8401666666464)   (312.04850000000033, 6706.1654999999955)   (700.0921666666663, 7266.395166666653)     (-121.60916666666668, -2613.056500000001)   (1209.006499999997, 7177.909499999985)     (2559.4554999999964, 6017.655499999961)   (3788.9788333333313, 4683.417499999968)   (5043.870999999985, 3238.2886666666304)   (5340.029166666655, 2990.055166666644)    (-181.7999999999999, 6182.200000000007)    (-47.429333333333346, 6222.1050000000005)  (516.1756666666673, 7312.226999999988)     (841.926833333334, 6989.927166666647)      (1217.5621666666655, 6567.928166666644)    (1531.1868333333305, 6234.94683333331)     (1914.5964999999965, 5808.641166666643)     (187.06916666666703, 7544.455166666661)     (-46.79216666666669, 6222.2125000000015)    (1208.4474999999968, 7155.900166666645)    (1864.8293333333293, 6461.795333333304)    (2546.0134999999973, 5700.346166666641)    (3094.7026666666648, 5119.104999999979)    (3652.834333333332, 4521.483666666648)     (523.9573333333333, 7760.377333333325)     (-46.76566666666668, 6222.264999999999)    (1864.4749999999956, 6704.742999999972)    (2734.9664999999986, 5772.234499999974)    (3600.3901666666666, 4818.769499999978)    (4257.103166666666, 4144.235166666646)    (4861.116999999999, 3540.026333333314)      (818.3288333333318, 7714.476499999988)     (2417.52116666666, 4554.912499999955)      (3170.6539999999986, 4575.323333333275)    (-66.68716666666667, -4005.164500000001)    (6028.033833333283, 938.5394999999775)     (6773.367166666589, 472.19216666666404)   (7043.785999999915, 420.2280000000072)    (7255.352166666585, 407.03050000000985)   (-133.0695, 3956.5265)                     (7267.414666666598, 472.37666666667457)   (775.4300000000003, 6206.09599999999)     (1410.431666666661, 6461.410333333302)     (-67.441, -4005.025000000002)               (2269.0491666666635, 5915.6098333333175)  (3869.0446666666635, 4370.078333333304)   (5022.1688333333195, 3110.332499999968)    (5968.102833333296, 2063.6931666666424)    (64.6488333333333, 3759.793499999991)      (6161.547499999971, 1928.721499999985)
periodic-15                (9801.80116666667, 184.1275)             (36.52949999999999, 7035.517499999993)     (156.25300000000001, 7887.949333333332)    (-75.19183333333334, -2608.3995000000004)   (432.5563333333336, 8065.245333333329)     (1279.2994999999987, 7568.058499999988)   (1733.2409999999998, 7222.836999999997)   (2938.1811666666654, 5900.076833333323)   (-55.55816666666668, 3928.0274999999965)   (3759.309, 4959.408333333333)             (189.14783333333335, 6881.087499999993)    (432.1488333333337, 7603.065499999994)     (-76.33183333333332, -2608.5405000000005)   (754.5631666666671, 7725.40049999999)      (1528.3254999999979, 7292.220499999987)   (2087.3874999999994, 6823.6678333333275)  (2872.456833333332, 5981.944833333322)    (3480.9958333333334, 5298.6175)           (-133.19999999999987, 7202.799999999993)   (-34.92966666666666, 7198.4619999999995)   (383.1533333333333, 8012.310333333333)     (629.2515, 7778.899500000001)              (880.6360000000002, 7504.982333333332)     (1140.899, 7222.972666666669)              (1407.4256666666668, 6926.051000000001)     (152.2973333333333, 8075.18)                (-34.63633333333333, 7198.401)              (872.6921666666667, 7918.049166666667)     (1397.5159999999998, 7367.398333333332)    (1869.2031666666662, 6844.3455)            (2355.9724999999994, 6301.701833333333)    (2815.561666666667, 5792.804)              (398.6083333333333, 8188.586)              (-34.78216666666666, 7198.4225)            (1336.1465, 7611.2345000000005)            (2055.561666666667, 6833.8386666666665)    (2744.3589999999995, 6061.500333333333)    (3327.7090000000003, 5420.629999999999)   (3894.0685, 4808.225833333332)              (600.421, 8150.050333333334)               (-8.888166666666674, 7081.162499999994)    (2398.6984999999922, 5581.669499999962)    (-32.547000000000004, -3998.600000000004)   (3599.7239999999956, 4437.2906666666395)   (6384.346333333312, 967.2166666666664)    (6561.134333333325, 935.2793333333332)    (6903.992499999983, 705.8301666666692)    (-97.06216666666667, 3967.7645)            (6923.567166666666, 747.0325000000007)    (489.8278333333334, 6564.8474999999935)   (942.6803333333332, 7044.79799999999)      (-32.400333333333336, -3998.600000000004)   (1403.4551666666641, 6989.43949999998)    (2580.206833333331, 6023.6188333333175)   (3409.4065, 5173.457166666663)             (4163.2570000000005, 4353.397333333325)    (29.324333333333215, 3842.486999999993)    (4754.736333333333, 3663.449999999996)
periodic-17                (9782.485999999999, 202.07333333333332)  (33.5381666666667, 7054.072500000002)      (127.17199999999998, 7933.222999999998)    (-76.99266666666666, -2609.5710000000004)   (295.9540000000002, 8229.15333333333)      (780.7883333333347, 8145.8646666666455)   (1433.389999999997, 7585.733333333301)    (1766.6376666666622, 7310.738333333305)   (-51.638, 3938.9739999999974)              (2910.635499999994, 6017.608833333297)    (183.5378333333334, 6902.0875000000015)    (369.10950000000025, 7684.279499999994)    (-77.20733333333334, -2609.5700000000015)   (612.6643333333336, 7898.652666666659)     (1204.7676666666657, 7687.817333333304)   (1769.067166666661, 7208.247166666629)    (2218.128499999994, 6796.273499999967)    (2841.9053333333263, 6100.854666666629)   (-117.60000000000012, 7530.400000000008)   (-30.237000000000005, 7519.104999999999)   (340.83533333333384, 8229.059666666655)    (549.1308333333344, 8047.882499999982)     (776.0643333333342, 7810.60099999998)      (1006.4755000000002, 7558.231833333306)    (1188.5833333333323, 7354.074666666637)     (145.64266666666677, 8248.941333333329)     (-31.265666666666668, 7519.283999999999)    (769.9470000000013, 8149.797333333312)     (1216.2824999999991, 7701.026166666638)    (1630.249166666663, 7248.263833333301)     (2080.647666666661, 6736.598999999962)     (2484.618499999994, 6282.156499999963)     (349.20316666666736, 8362.081833333328)    (-31.332500000000003, 7519.2445)           (1153.6829999999995, 7904.652999999975)    (1803.6441666666624, 7222.1221666666315)   (2418.91666666666, 6536.3323333333)        (2989.1033333333276, 5899.578999999965)   (3499.8286666666622, 5332.226666666637)     (505.51050000000043, 8347.274166666659)    (-48.57250000000001, 7136.423500000002)    (2189.077166666657, 5827.695499999959)     (-43.69033333333333, -4002.787000000001)    (2659.7701666666608, 5741.7648333332945)   (5615.651666666641, 2021.5636666666487)   (6397.8278333332955, 1159.5411666666705)  (6484.540999999961, 1149.555666666669)    (-86.56983333333334, 3972.5905)            (6845.414166666622, 847.8505000000132)    (403.73966666666666, 6671.555333333334)   (771.6855000000008, 7250.208166666654)     (-43.63283333333333, -4002.7955000000015)   (1252.925999999999, 7181.534666666656)    (2183.9146666666607, 6527.695999999963)   (2935.4019999999923, 5785.141333333296)    (3450.4988333333317, 5247.459166666637)    (17.506499999999896, 3869.6344999999937)   (4155.351833333333, 4443.055833333314)
periodic-20                (9740.467666666667, 241.89666666666668)  (25.02616666666666, 7079.857499999993)     (103.62433333333331, 7974.608999999998)    (-32.11050000000001, -2602.6685)            (218.92183333333338, 8326.917833333333)    (593.239, 8369.644666666663)              (885.5169999999998, 8225.864333333331)    (1484.4881666666658, 7656.300499999993)   (-46.922, 3951.128999999998)               (1779.956, 7380.570000000007)             (141.10283333333334, 6962.412499999994)    (302.26550000000026, 7771.0574999999935)   (-32.32216666666667, -2602.6775000000002)   (483.20516666666697, 8052.433833333327)    (958.2246666666668, 7978.777333333325)    (1343.9341666666664, 7725.555166666662)   (1790.0094999999988, 7313.864499999989)   (2101.268, 7018.388333333338)             (-99.80000000000011, 7904.200000000008)    (-25.45233333333334, 7882.494999999998)    (304.5726666666667, 8453.521666666666)     (482.635, 8312.069000000001)               (670.3533333333335, 8123.112666666666)     (850.6796666666667, 7929.504666666665)     (1044.6353333333334, 7713.647666666664)     (137.38133333333334, 8423.624666666667)     (-26.16433333333334, 7882.737000000001)     (673.8223333333334, 8375.272)              (1029.7256666666667, 8044.413666666666)    (1407.2936666666665, 7636.186666666665)    (1763.986, 7237.181666666667)              (2084.4553333333333, 6875.135333333334)    (307.26199999999994, 8478.168333333333)    (-25.69966666666667, 7882.518)             (1001.1193333333334, 8168.039)             (1574.812, 7584.781000000001)              (2076.521333333333, 7032.747333333334)     (2607.792, 6434.077666666665)             (3025.6996666666664, 5969.269)              (417.8046666666666, 8459.027666666669)     (-43.78833333333334, 7148.494999999994)    (1450.4604999999938, 6604.031499999957)    (-36.75699999999999, -4002.2760000000007)   (2344.9229999999916, 6116.184999999962)    (4148.047, 4102.086999999988)             (5299.873833333328, 2662.2854999999945)   (6380.4154999999855, 1306.514499999999)   (-74.53249999999998, 3977.8485)            (6463.966833333332, 1295.5091666666665)   (311.9881666666667, 6785.657499999993)    (596.7235000000005, 7457.719833333323)     (-36.8395, -4002.212500000001)              (971.5411666666668, 7516.221166666654)    (1726.7226666666645, 7091.465666666653)   (2351.600999999999, 6520.782333333327)     (2945.5704999999984, 5902.279499999989)    (10.354666666666592, 3894.0209999999943)   (3359.623666666667, 5456.223333333334)
periodic-4                 (9945.504333333334, 48.10333333333333)   (897.2551666666722, 5736.501833333363)     (3727.9209999999953, 3340.4296666667287)   (-325.4766666666667, -2638.3620000000046)   (5920.559333333424, 1161.819666666717)     (7646.034333333496, -47.10100000002079)   (8141.782833333468, -133.47550000001192)  (8412.813666666765, -116.0733333333407)   (-188.09433333333365, 3705.8569999999995)  (8575.515333333413, -101.51633333333871)  (1572.1225000000093, 4995.584833333373)    (3637.166999999994, 3454.167666666729)     (-325.77799999999996, -2638.1710000000044)  (5712.949333333412, 1415.7333333333936)    (7637.426333333495, -39.24300000002089)   (8137.881333333469, -131.10633333334536)  (8414.465833333434, -117.05283333334069)  (8577.809833333413, -102.6928333333387)   (-499.8976666666664, -496.8779999999995)   (-267.22266666666684, 4048.6533333333255)  (1363.5223333333417, 2996.08233333339)     (2190.447000000019, 2335.3830000000444)    (2918.3970000000313, 1795.5196666667052)   (3540.955666666703, 1372.6680000000265)    (4044.571666666703, 1049.1556666666913)     (455.2859999999971, 3798.085333333368)      (-87.00433333333301, 5033.439333333318)     (2940.660666666679, 3084.3150000000496)    (4140.568333333352, 2119.687333333375)     (5042.157666666695, 1451.1930000000475)    (5704.90200000004, 1029.4506666667062)     (6236.232333333383, 737.7143333333617)     (1351.7763333333444, 4554.484333333385)    (57.57533333333402, 5444.493333333319)     (4121.506333333343, 2673.494333333385)     (5399.58233333336, 1668.6273333333875)     (6285.44533333338, 1065.4903333333648)     (6851.688333333392, 737.2533333333475)    (7318.487333333399, 503.7766666666709)      (2144.649000000006, 4494.868333333383)     (4225.718999999996, 1818.4820000000398)    (6833.449333333487, -756.2766666666826)    (-191.1256666666667, -4010.3290000000015)   (7130.090500000174, -438.5898333333566)    (7763.918666666839, -207.47700000001765)  (8153.931166666804, -150.52450000001159)  (8419.475833333432, -121.51850000000725)  (148.85316666666674, 3363.9955000000064)   (8581.044666666745, -103.92066666667198)  (2933.8933333333343, 3343.982333333355)   (4809.76300000003, 1941.021666666736)      (-191.25816666666665, -4010.3435000000018)  (6280.160166666779, 681.9638333333618)    (7681.1803333335, -98.89933333335316)     (8141.472000000136, -137.5990000000119)    (8415.546666666765, -119.48433333334062)   (490.2808333333364, 3012.72550000001)      (8578.518833333412, -103.22350000000532)
periodic-7                 (9907.621333333334, 84.03266666666669)   (170.70766666666756, 6745.968333333323)    (895.4455, 6931.76883333328)               (-185.851, -2623.2470000000017)             (2209.539833333321, 5875.748499999939)     (5370.400166666659, 2456.1038333333295)   (6670.282833333252, 1106.5905000000334)   (7257.239499999905, 681.0655000000245)    (-143.05233333333348, 3866.803999999989)   (7615.423166666558, 458.5945000000163)    (576.4871666666664, 6326.913166666646)     (1451.7063333333235, 6322.652999999926)    (-185.48783333333336, -2623.3815000000013)  (2556.2258333333184, 5477.821166666604)    (4989.782166666665, 2919.627833333325)    (6586.917999999922, 1202.885333333364)    (7230.019666666574, 717.048000000025)     (7613.643499999891, 465.92650000001663)   (-285.6000000000002, 4002.399999999996)    (-140.28616666666656, 5853.277500000006)   (803.2430000000018, 5846.598333333265)     (1346.1916666666593, 5298.869333333255)    (1833.0749999999875, 4814.692333333244)    (2295.8356666666527, 4365.503333333243)    (2764.0354999999863, 3916.923833333246)     (267.8208333333353, 6357.637499999963)      (-41.29099999999992, 6363.902000000017)     (1851.00833333332, 5658.483333333239)      (2778.535833333319, 4703.535499999918)     (3603.5816666666574, 3892.8246666666014)   (4240.690499999997, 3287.2621666666237)    (4816.715166666667, 2769.3901666666447)    (800.1391666666683, 6726.836833333271)     (22.173833333333018, 6503.459500000018)    (2753.2649999999844, 5113.155999999909)    (3908.2518333333273, 3941.2388333332788)   (4835.007666666665, 3057.4119999999807)    (5518.242499999994, 2439.966499999994)    (6081.615166666652, 1969.2418333333349)     (1297.9686666666582, 6627.56533333325)     (2865.560999999997, 3941.6039999999202)    (6286.915499999918, 52.467166666662436)    (-109.42833333333334, -4005.479000000001)   (6743.926166666559, -73.41383333330822)    (7127.210166666551, 92.23416666668696)    (7383.718666666517, 158.70500000001965)   (7654.394166666545, 173.81583333334424)   (-175.37616666666676, 3898.2754999999906)  (7845.070833333206, 180.54616666667536)   (1461.2711666666576, 5329.106499999953)   (2674.6523333333184, 4840.544333333265)    (-109.489, -4005.3100000000004)             (3882.7661666666586, 3794.9648333332957)  (5875.108333333305, 1764.8816666666728)   (6893.665666666562, 804.6980000000292)     (7397.775166666564, 501.18383333335305)    (181.96933333333482, 3548.200999999963)    (7702.45666666655, 351.81333333334726)
